Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
woodenGarageDoor4x3GreenCentered,blocks,block,,,Green Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera verde 4x3 [Centrada]
woodenGarageDoor4x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera azul 4x3 [Centrada]
woodenGarageDoor4x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera gris 4x3 [Centrada]
woodenGarageDoor4x3OakCentered,blocks,block,,,Oak Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera de roble 4x3 [Centrada]
woodenGarageDoor4x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera blanca 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera marrón 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera roja 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera naranja 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera amarilla 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera verde 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera azul 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera gris 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera de roble 4x3 [Centered](con alimentación)

woodenGarageDoor5x3WhiteCentered,blocks,block,,,White Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera blanca 5x3 [Centrada]
woodenGarageDoor5x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera marrón 5x3 [Centrada]
woodenGarageDoor5x3RedCentered,blocks,block,,,Red Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera roja 5x3 [Centrada]
woodenGarageDoor5x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera naranja 5x3 [Centrada]
woodenGarageDoor5x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera amarilla 5x3 [Centrada]
woodenGarageDoor5x3GreenCentered,blocks,block,,,Green Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera verde 5x3 [Centrada]
woodenGarageDoor5x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera azul 5x3 [Centrada]
woodenGarageDoor5x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera gris 5x3 [Centrada]
woodenGarageDoor5x3OakCentered,blocks,block,,,Oak Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera de roble 5x3 [Centrada]
woodenGarageDoor5x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera blanca 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera marrón 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera roja 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera naranja 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera amarilla 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera verde 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera azul 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera gris 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera de roble 5x3 [Centered](con alimentación)

steelGarageDoor3x3WhiteCentered,blocks,block,,,White Steel Garage Door 3x3[Centered],Puerta de garaje de acero blanca 3x3[Centrada]
steelGarageDoor3x3BrownCentered,blocks,block,,,Brown Steel Garage Door 3x3[Centered],Puerta de garaje de acero marrón 3x3[Centrada]
steelGarageDoor3x3RedCentered,blocks,block,,,Red Steel Garage Door 3x3[Centered],Puerta de garaje de acero roja 3x3[Centrada]
steelGarageDoor3x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 3x3[Centered],Puerta de garaje de acero naranja 3x3[Centrada]
steelGarageDoor3x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 3x3[Centered],Puerta de garaje de acero amarilla 3x3[Centrada]
steelGarageDoor3x3GreenCentered,blocks,block,,,Green Steel Garage Door 3x3[Centered],Puerta de garaje de acero verde 3x3[Centrada]
steelGarageDoor3x3BlueCentered,blocks,block,,,Blue Steel Garage Door 3x3[Centered],Puerta de garaje de acero azul 3x3[Centrada]
steelGarageDoor3x3GreyCentered,blocks,block,,,Grey Steel Garage Door 3x3[Centered],Puerta de garaje de acero gris 3x3[Centrada]
steelGarageDoor3x3BlackCentered,blocks,block,,,Black Steel Garage Door 3x3[Centered],Puerta de garaje de acero negra 3x3[Centrada]
steelGarageDoor3x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 3x3[Centered],Puerta de garaje de acero verde militar 3x3[Centrada]
steelGarageDoor3x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero blanca 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero marrón 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero roja 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero naranja 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero amarilla 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero verde 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero azul 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero gris 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero negra 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero verde militar 3x3[Centrada](con alimentación)

steelGarageDoor4x3WhiteCentered,blocks,block,,,White Steel Garage Door 4x3[Centered],Puerta de garaje de acero blanca 4x3[Centrada]
steelGarageDoor4x3BrownCentered,blocks,block,,,Brown Steel Garage Door 4x3[Centered],Puerta de garaje de acero marrón 4x3[Centrada]
steelGarageDoor4x3RedCentered,blocks,block,,,Red Steel Garage Door 4x3[Centered],Puerta de garaje de acero roja 4x3[Centrada]
steelGarageDoor4x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 4x3[Centered],Puerta de garaje de acero naranja 4x3[Centrada]
steelGarageDoor4x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 4x3[Centered],Puerta de garaje de acero amarilla 4x3[Centrada]
steelGarageDoor4x3GreenCentered,blocks,block,,,Green Steel Garage Door 4x3[Centered],Puerta de garaje de acero verde 4x3[Centrada]
steelGarageDoor4x3BlueCentered,blocks,block,,,Blue Steel Garage Door 4x3[Centered],Puerta de garaje de acero azul 4x3[Centrada]
steelGarageDoor4x3GreyCentered,blocks,block,,,Grey Steel Garage Door 4x3[Centered],Puerta de garaje de acero gris 4x3[Centrada]
steelGarageDoor4x3BlackCentered,blocks,block,,,Black Steel Garage Door 4x3[Centered],Puerta de garaje de acero negra 4x3[Centrada]
steelGarageDoor4x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 4x3[Centered],Puerta de garaje de acero verde militar 4x3[Centrada]
steelGarageDoor4x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero blanca 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero marrón 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero roja 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero naranja 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero amarilla 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero verde 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero azul 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero gris 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero negra 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero verde militar 4x3[Centrada](con alimentación)

steelGarageDoor5x3WhiteCentered,blocks,block,,,White Steel Garage Door 5x3[Centered],Puerta de garaje de acero blanca 5x3[Centrada]
steelGarageDoor5x3BrownCentered,blocks,block,,,Brown Steel Garage Door 5x3[Centered],Puerta de garaje de acero marrón 5x3[Centrada]
steelGarageDoor5x3RedCentered,blocks,block,,,Red Steel Garage Door 5x3[Centered],Puerta de garaje de acero roja 5x3[Centrada]
steelGarageDoor5x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 5x3[Centered],Puerta de garaje de acero naranja 5x3[Centrada]
steelGarageDoor5x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 5x3[Centered],Puerta de garaje de acero amarilla 5x3[Centrada]
steelGarageDoor5x3GreenCentered,blocks,block,,,Green Steel Garage Door 5x3[Centered],Puerta de garaje de acero verde 5x3[Centrada]
steelGarageDoor5x3BlueCentered,blocks,block,,,Blue Steel Garage Door 5x3[Centered],Puerta de garaje de acero azul 5x3[Centrada]
steelGarageDoor5x3GreyCentered,blocks,block,,,Grey Steel Garage Door 5x3[Centered],Puerta de garaje de acero gris 5x3[Centrada]
steelGarageDoor5x3BlackCentered,blocks,block,,,Black Steel Garage Door 5x3[Centered],Puerta de garaje de acero negra 5x3[Centrada]
steelGarageDoor5x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 5x3[Centered],Puerta de garaje de acero verde militar 5x3[Centrada]
steelGarageDoor5x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero blanca 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero marrón 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero roja 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero naranja 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero amarilla 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero verde 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero azul 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero gris 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero negra 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero verde militar 5x3[Centrada](con alimentación)

rollUpDoor3x3_PoweredWhite,blocks,block,,,White Roll Up Door 3x3(Powered),Puerta enrollable blanca de 3x3(con alimentación)
rollUpDoor3x3_PoweredBrown,blocks,block,,,Brown Roll Up Door 3x3(Powered),Puerta enrollable marrón de 3x3(con alimentación)
rollUpDoor3x3_PoweredRed,blocks,block,,,Red Roll Up Door 3x3(Powered),Puerta enrollable roja de 3x3(con alimentación)
rollUpDoor3x3_PoweredOrange,blocks,block,,,Orange Roll Up Door 3x3(Powered),Puerta enrollable naranja de 3x3(con alimentación)
rollUpDoor3x3_PoweredYellow,blocks,block,,,Yellow Roll Up Door 3x3(Powered),Puerta enrollable amarilla de 3x3(con alimentación)
rollUpDoor3x3_PoweredGreen,blocks,block,,,Green Roll Up Door 3x3(Powered),Puerta enrollable verde de 3x3(con alimentación)
rollUpDoor3x3_PoweredBlue,blocks,block,,,Blue Roll Up Door 3x3(Powered),Puerta enrollable azul de 3x3(con alimentación)
rollUpDoor3x3_PoweredPurple,blocks,block,,,Purple Roll Up Door 3x3(Powered),Puerta enrollable violeta de 3x3(con alimentación)
rollUpDoor3x3_PoweredGrey,blocks,block,,,Grey Roll Up Door 3x3(Powered),Puerta enrollable gris de 3x3(con alimentación)
rollUpDoor3x3_PoweredBlack,blocks,block,,,Black Roll Up Door 3x3(Powered),Puerta enrollable negra de 3x3(con alimentación)
rollUpDoor3x3_PoweredPink,blocks,block,,,Pink Roll Up Door 3x3(Powered),Puerta enrollable rosa de 3x3(con alimentación)
rollUpDoor3x3_PoweredVariantHelper,blocks,block,,,White Roll Up Door 3x3(Powered),Puerta enrollable blanca de 3x3(con alimentación)

rollUpDoor5x4_PoweredWhite,blocks,block,,,White Roll Up Door 5x4(Powered),Puerta enrollable blanca de 5x4(con alimentación)
rollUpDoor5x4_PoweredBrown,blocks,block,,,Brown Roll Up Door 5x4(Powered),Puerta enrollable marrón de 5x4(con alimentación)
rollUpDoor5x4_PoweredRed,blocks,block,,,Red Roll Up Door 5x4(Powered),Puerta enrollable roja de 5x4(con alimentación)
rollUpDoor5x4_PoweredOrange,blocks,block,,,Orange Roll Up Door 5x4(Powered),Puerta enrollable naranja de 5x4(con alimentación)
rollUpDoor5x4_PoweredYellow,blocks,block,,,Yellow Roll Up Door 5x4(Powered),Puerta enrollable amarilla de 5x4(con alimentación)
rollUpDoor5x4_PoweredGreen,blocks,block,,,Green Roll Up Door 5x4(Powered),Puerta enrollable verde de 5x4(con alimentación)
rollUpDoor5x4_PoweredBlue,blocks,block,,,Blue Roll Up Door 5x4(Powered),Puerta enrollable azul de 5x4(con alimentación)
rollUpDoor5x4_PoweredPurple,blocks,block,,,Purple Roll Up Door 5x4(Powered),Puerta enrollable violeta de 5x4(con alimentación)
rollUpDoor5x4_PoweredGrey,blocks,block,,,Grey Roll Up Door 5x4(Powered),Puerta enrollable gris de 5x4(con alimentación)
rollUpDoor5x4_PoweredBlack,blocks,block,,,Black Roll Up Door 5x4(Powered),Puerta enrollable negra de 5x4(con alimentación)
rollUpDoor5x4_PoweredPink,blocks,block,,,Pink Roll Up Door 5x4(Powered),Puerta enrollable rosa de 5x4(con alimentación)
rollUpDoor5x4_PoweredVariantHelper,blocks,block,,,White Roll Up Door 5x4(Powered),Puerta enrollable blanca de 5x4(con alimentación)

rollUpDoor7x4_PoweredWhite,blocks,block,,,White Roll Up Door 7x4(Powered),Puerta enrollable blanca de 7x4(con alimentación)
rollUpDoor7x4_PoweredBrown,blocks,block,,,Brown Roll Up Door 7x4(Powered),Puerta enrollable marrón de 7x4(con alimentación)
rollUpDoor7x4_PoweredRed,blocks,block,,,Red Roll Up Door 7x4(Powered),Puerta enrollable roja de 7x4(con alimentación)
rollUpDoor7x4_PoweredOrange,blocks,block,,,Orange Roll Up Door 7x4(Powered),Puerta enrollable naranja de 7x4(con alimentación)
rollUpDoor7x4_PoweredYellow,blocks,block,,,Yellow Roll Up Door 7x4(Powered),Puerta enrollable amarilla de 7x4(con alimentación)
rollUpDoor7x4_PoweredGreen,blocks,block,,,Green Roll Up Door 7x4(Powered),Puerta enrollable verde de 7x4(con alimentación)
rollUpDoor7x4_PoweredBlue,blocks,block,,,Blue Roll Up Door 7x4(Powered),Puerta enrollable azul de 7x4(con alimentación)
rollUpDoor7x4_PoweredPurple,blocks,block,,,Purple Roll Up Door 7x4(Powered),Puerta enrollable violeta de 7x4(con alimentación)
rollUpDoor7x4_PoweredGrey,blocks,block,,,Grey Roll Up Door 7x4(Powered),Puerta enrollable gris de 7x4(con alimentación)
rollUpDoor7x4_PoweredBlack,blocks,block,,,Black Roll Up Door 7x4(Powered),Puerta enrollable negra de 7x4(con alimentación)
rollUpDoor7x4_PoweredPink,blocks,block,,,Pink Roll Up Door 7x4(Powered),Puerta enrollable rosa de 7x4(con alimentación)
rollUpDoor7x4_PoweredVariantHelper,blocks,block,,,White Roll Up Door 7x4(Powered),Puerta enrollable blanca de 7x4(con alimentación)

kitRoboticsSkillMagazine,items,item,,,[Started Kit] Engenier Magazine,[Kit de Inicio] Revista de Ingeniero
kitRepairToolsSkillMagazine,items,item,,,[Started Kit] Contructor Magazine,[Kit de Inicio] Revista de Constructor
kitHarvestingToolsSkillMagazine,items,item,,,[Started Kit] Miner Magazine,[Kit de Inicio] Revista de Minero
kitMedicalSkillMagazine,items,item,,,[Started Kit] Medic Magazine,[Kit de Inicio] Revista de Medico 
kitVehiclesSkillMagazine,items,item,,,[Started Kit] Mechanic Magazine,[Kit de Inicio] Revista de Mecanico
kitSeedSkillMagazine,items,item,,,[Started Kit] Farmer Magazine,[Kit de Inicio] Revista de Granjero
kitHandgunsSkillMagazine,items,item,,,[Started Kit] Shooter Magazine,[Kit de Inicio] Revista de Tirador
kitRiflesSkillMagazine,items,item,,,[Started Kit] Sniper Magazine,[Kit de Inicio] Revista de Sniper
kitShotgunsSkillMagazine,items,item,,,[Started Kit] Demolitor Magazine,[Kit de Inicio] Revista de Demoledor
kitMachineGunsSkillMagazine,items,item,,,[Started Kit] Swat Magazine,[Kit de Inicio] Revista de Swat

bookPreacherUI,items,item,,,Old Preacher Book Vol 1,Viejo Libro de Predicador Vol 1
bookPreacherZombies,items,item,,,Old Preacher Book Vol 2,Viejo Libro de Predicador Vol 2
bookPreacherSpecial,items,item,,,Old Preacher Book Vol 3,Viejo Libro de Predicador Vol 3
bookPreacherBosses,items,item,,,Old Preacher Book Vol 4,Viejo Libro de Predicador Vol 4
bookPreacherZXP,items,item,,,Old Preacher Book Vol 5,Viejo Libro de Predicador Vol 5
bookPreacherSXP,items,item,,,Old Preacher Book Vol 6,Viejo Libro de Predicador Vol 6
bookPreacherBXP,items,item,,,Old Preacher Book Vol 7,Viejo Libro de Predicador Vol 7
bookMasterCoverPreacher,items,item,,,Preacher Master Cover Page,Portada de Maestro Predicador
bookMasterPagesPreacher,items,item,,,Preacher Master Pages,Páginas Maestro Predicador
bookMasterPreacher,items,item,,,[MB] Preacher Master,[LM] Maestro Predicador

perkPreacherUIDesc,progression,perkbooks,,,Track special zombie,Localiza zombies especiales
perkPreacherZombiesDesc,progression,perkbooks,,,Do 10% more damage to normal zombies,Inflige 10% más de daño a los zombies normales.
perkPreacherSpecialDesc,progression,perkbooks,,,Do 10% more damage to special zombies,Inflige 10% más de daño a los zombies especiales.
perkPreacherBossesDesc,progression,perkbooks,,,Do 10% more damage to bosses,Inflige 10% más de daño a los jefes.
perkPreacherZXPDesc,progression,perkbooks,,,Gain 10% more xp from normal zombies kills,Gana un 10% más de XP al matar zombies normales.
perkPreacherSXPDesc,progression,perkbooks,,,Gain 10% more xp from special zombies kills,Gana un 10% más de XP al matar zombies especiales.
perkPreacherBXPDesc,progression,perkbooks,,,Gain 10% more xp from bosses kills,Gana un 10% más de XP al matar jefes.
perkPreacherCompleteDesc,progression,perkbooks,,,Find more quest tickets,Encuentra más boletos de misión

perkPreacherUILongDesc,progression,perkbooks,,,Divine revelation: Old teachings help you locate special foes. Gain de ability to locate special zombies,Revelación divina: Viejas enseñanzas te ayudan a localizar enemigos especiales. Gana la habilidad de localizar zombies especiales.
perkPreacherZombiesLongDesc,progression,perkbooks,,,Preacher: You have the power to save lost souls. Gain 10% more damage agains normal zombies,Predicador: Tú tienes el poder de salvar almas perdidas. Inflige un 10% más de daño contra zombies normales.
perkPreacherSpecialLongDesc,progression,perkbooks,,,Executor: Specials? everyone is the same to the eyes of the lord. Gain 10% more damage agains special zombies,Ejecutor: ¿Especiales? todos son iguales a los ojos del señor. Inflige un 10% más de daño contra zombis especiales
perkPreacherBossesLongDesc,progression,perkbooks,,,Lords' Agent: Boss or not is time to rest is peace. Gain 10% more damage agains bosses,"Agente del Señor: Jefe o no, es hora de descansar en paz. Inflige un 10% más de daño contra jefes"
perkPreacherZXPLongDesc,progression,perkbooks,,,Peace Seeker: Looking for peace give you ilumitation. Gain 10% more xp from normal zombies kills,Buscador de paz: Buscar la paz te da la iluminación. Gana un 10% más de experiencia al matar zombies normales.
perkPreacherSXPLongDesc,progression,perkbooks,,,Peace Bringer: Giving peace to special souls give deeper insights. Gain 10% more xp from special zombies kills,Portador de Paz: Dar paz a almas especiales te da conocimientos más profundos. Gana un 10 % más de experiencia al matar zombies especiales
perkPreacherBXPLongDesc,progression,perkbooks,,,Peacemaker: They bring doom but you make peace. Gain 10% more xp from bosses kills,Pacificador: Ellos traen perdición pero tú creas la paz. Gana un 10% más de experiencia al matar a jefes.
