Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
donacion_PicoDeAcero,items,tool,,,[ffff00][Donation][-] Steel Pickaxe,[ffff00][Donación][-] Pico de acero,[ffff00][Donación][-] Pico de acero
donacion_HachaDeAcero,items,tool,,,[ffff00][Donation][-] Steel Axe,[ffff00][Donación][-] Hacha de Acero,[ffff00][Donación][-] Hacha de Acero
donacion_Nailgun,items,tool,,,[ffff00][Donation][-] Nailgun,[ffff00][Donación][-] Nailgun,[ffff00][Donación][-] Nailgun
donacion_Barrena,items,tool,,,[ffff00][Donation][-] Auger,[ffff00][Donación][-] Barrena,[ffff00][Donación][-] Barrena
donacion_Motosierra,items,tool,,,[ffff00][Donation][-] Chainsaw,[ffff00][Donación][-] Motosierra,[ffff00][Donación][-] Motosierra
donacion_betsy,vehicles,vehicle,,,[ffff00][Donation][-] Betsy MK1,[ffff00][Donación][-] Betsy MK1,Betsy MK1
donacion_betsy2,vehicles,vehicle,,,[ffff00][Donation][-] Betsy MK2,[ffff00][Donación][-] Betsy MK2,Betsy MK2
donacion_SPO4x4,vehicles,vehicle,,,[ffff00][Donation][-] S.O. 4x4,[ffff00][Donación][-] E.O. 4x4,[ffff00][Donación][-] E.O. 4x4
donacion_SPOGyro,vehicles,vehicle,,,[ffff00][Donation][-] S.O. Gyrocopter,[ffff00][Donación][-] E.O. Gyrocoptero,[ffff00][Donación][-] E.O. Gyrocoptero
donacion_modArmorTreasureHunterLegend,items,tool,,,[ffff00][Donation][-] Legendary Treasure Hunter's Mod,[ffff00][Donación][-] Modificador de cazador de tesoros,[ffff00][Donación][-] Modificador de cazador de tesoros
donacion_SPOGyroPlaceable,items,vehicle,,,[ffff00][Donation][-] Special Operation Gyrocopter,[ffff00][Donación][-] Giróscopo de Operaciones Especiales,[ffff00][Donación][-] Giróscopo de Operaciones Especiales
donacion_SPOmotoPlaceable,items,vehicle,,,[ffff00][Donation][-] S.O. Motorcycle,[ffff00][Donación][-] S.O. Motocicleta,[ffff00][Donación][-] S.O. Motocicleta
donacion_SPO4x4Placeable,items,vehicle,,,[ffff00][Donation][-] Special Operations 4x4,[ffff00][Donación][-] 4x4 de Operaciones Especiales,[ffff00][Donación][-] 4x4 de Operaciones Especiales
donacion_BetsyPlaceable,items,vehicle,,,[ffff00][Donation][-] Betsy MK1,[ffff00][Donación][-] Betsy MK1,[ffff00][Donación][-] Betsy MK1
donacion_Betsy2Placeable,items,vehicle,,,[ffff00][Donation][-] Betsy MK2,[ffff00][Donación][-] Betsy MK2,[ffff00][Donación][-] Betsy MK2
donacion_Cursed_mod,item_modifiers,mod,,,[ffff00][Donation][-] Dark pact Mod,[ffff00][Donación][-] Pacto oscuro,[ffff00][Donación][-] Pacto oscuro
donacion_Divine_mod,item_modifiers,mod,,,[ffff00][Donation][-] Divine Mod,[ffff00][Donación][-]Modificardor Divino,[ffff00][Donación][-]Modificardor Divino
buffPremmXP,buff,premmyBuff,,,Premmium XP
buffPremmXPDesc,desc,premmyBuff,,,This buff will give extra XP for premmium users\n• +50% XP,Esta buff le otorga expericia adicional a usuarios premium\n• +50% XP,Esta buff le otorga expericia adicional a usuarios premium\n• +50% XP

