Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
foodBOCDesc,items,Food,New,"A full morning meal with all the fixins' to help you tackle a long work day.",,,,,

foodFullEnglish,items,Food,New,Full English Breakfast,,,,,
foodFullEnglishDesc,items,Food,New,"Channel the metabolism of the beast with this multifaceted monstrosity which pushes your body to the limit.",,,,,

foodKFC,items,Food,New,Fried Chicken Meal,,,,,
foodKFCDesc,items,Food,New,"Need even more calories? \nNo sense of healthy living? \nThen we got a meal for you.",,,,,

foodReserveChicken,items,Food,New,Chicken Ration Meal,,,,,
foodReserveChickenDesc,items,Food,New,"Half decent flavor for deployment. Keeps you nice and healthy.",,,,,

drinkAppleJuice,items,Food,New,Fresh Apple Juice,,,,,
drinkAppleJuiceDesc,items,Food,New,"A refreshing drink that takes you back to your childhood.",,,,,

drinkAppleCider,items,Food,New,Fresh Apple Cider,,,,,
drinkAppleCiderDesc,items,Food,New,"The Apple family's legendary fresh-pressed apple elixir that restores health and hydration.",,,,,

seedApple,blocks,Block,New,Apple Seed,,,,,
seedWheat,blocks,Farming,New,Wheat Seed,,,,,
seedTomato,blocks,Farming,New,Tomato Seed,,,,,
seedOnion,blocks,Farming,New,Onion Seed,,,,,
seedCabbage,blocks,Farming,New,Cabbage Seed,,,,,

plantedWheat3HarvestDesc,blocks,Farming,New,Wheat Plant,,,,,
WheatPlantPlayer,blocks,Farming,New,Wheat Plant,,,,,
Wheatgrowing,blocks,Farming,New,Young Wheat,,,,,

plantedTomato3HarvestDesc,blocks,Farming,New,Tomato Plant,,,,,
TomatoPlantPlayer,blocks,Farming,New,Tomato Plant,,,,,
Tomatogrowing,blocks,Farming,New,Young Tomatoes,,,,,

plantedOnion3HarvestDesc,blocks,Farming,New,Onion Plant,,,,,
OnionPlantPlayer,blocks,Farming,New,Onion Plant,,,,,
Oniongrowing,blocks,Farming,New,Young Onions,,,,,

plantedCabbage3HarvestDesc,blocks,Farming,New,Cabbage Plant,,,,,
CabbagePlantPlayer,blocks,Farming,New,Cabbage Plant,,,,,
Cabbagegrowing,blocks,Farming,New,Young Cabbage,,,,,

appleYoung,blocks,Farming,New,Empty Apple Tree,,,,,
appleYoungDesc,blocks,Farming,New,Empty Apple Tree,,,,,
appleGrown,blocks,Farming,New,Apple Tree,,,,,
appleGrownDesc,blocks,Farming,New,Apple Tree,,,,,

BeeHiveEmpty,blocks,Farming,New,Empty Bee Hive,,,,,
BeeHiveEmptyDesc,blocks,Farming,New,A Bee Hive which can be placed down on soil and fill after enough time to generate honey. Loot more honey from mature hives by maxing out the living off the land perk.,,,,,
BeeHiveFull,blocks,Farming,New,Full Bee Hive,,,,,
BeeHiveFullDesc,blocks,Farming,New,Full Bee Hive,,,,,

NestEmpty,blocks,Farming,New,Empty Chicken Nest,,,,,
NestEmptyDesc,blocks,Farming,New,A chicken nest which can be placed down and will produce eggs. Loot more eggs from mature nests by perking into living off the land.,,,,,
NestFull,blocks,Farming,New,Chicken Nest,,,,,
NestFullDesc,blocks,Farming,New,Full chicken nest,,,,,

foodRice,items,Food,New,Bowl of Rice,,,,,
foodRiceDesc,items,Food,New,"Staple side-dish of most asian cooking",,,,,

foodPizza,items,Food,New,Fresh Pizza,,,,,
foodPizzaDesc,items,Food,New,"A classic american staple much desired in the apocalypse.",,,,,

foodBurrito,items,Food,New,Beef Burrito,,,,,
foodBurritoDesc,items,Food,New,"Carbs and protein in an elegantly portable format.",,,,,

foodFriedRice,items,Food,New,Asian Fried Rice,,,,,
foodFriedRiceDesc,items,Food,New,"A ubiquitous asian side dish which complements many meals.",,,,,

foodJambalaya,items,Food,New,Creole Jambalaya,,,,,
foodJambalayaDesc,items,Food,New,"Help put some tough meat on your bones with a meal that gots all the food things you could want.",,,,,
foodJambalayaSchematic,items,Food,New,"Lousiana Rice",,,,,
foodJambalayaSchematicDesc,items,Food,New,"Good ol' recipes from the creole masters.",,,,,
buffJambalayaName,buffs,Buff,New,Metabolic Hardiness,,,,,
buffJambalayaDesc,buffs,Buff,New,The Creole rice dish has granted you extra max HP for a short time.,,,,,

foodHuevos,items,Food,New,Huevos Rancheros,,,,,
foodHuevosDesc,items,Food,New,"Start the day on a good note with a southwestern classic.",,,,,
buffHuevosName,buffs,Buff,New,Spicy Speediness,,,,,
buffHuevosDesc,buffs,Buff,New,Southwest morning meals have granted you increased movement speed.,,,,,

foodArrozConPollo,items,Food,New,Arroz con Pollo,,,,,
foodArrozConPolloDesc,items,Food,New,"A simple Spanish rice and chicken entrèe.",,,,,
foodFrenchToast,items,Food,New,French Toast,,,,,
foodFrenchToastDesc,items,Food,New,"A classic breakfast meal served with healthy blueberries.",,,,,
foodEggSandwich,items,Food,New,Breakfast Egg Sandwich,,,,,
foodEggSandwichDesc,items,Food,New,"Ham, Egg, and Cheese layered together inside of a fresh baked biscuit.",,,,,
foodOmelette,items,Food,New,Breakfast Omelette,,,,,
foodOmeletteDesc,items,Food,New,"An American style omelette stuffed with meat and mushrooms to help start the day.",,,,,

drinkYuccaJuiceSmoothieDesc,items,Food,,"This smoothie helps you survive in severely hot environments.",,,,,

drinkTequila,items,Food,New,Asesino de Nieve Tequila,,,,,
drinkTequilaDesc,items,Food,New,"A strong alcoholic liquor which aids in cold weather survival.",,,,,
buffTequilaName,buffs,Buff,New,Agave Resilience,,,,,
buffTequilaDesc,buffs,Buff,New,The burning warmth of tequila keeps you warm on cold nights.,,,,,

drinkMilkshake,items,Food,New,Chocolate Milkshake,,,,,
drinkMilkshakeDesc,items,Food,New,"A cold milkshake made from milk and chocolate candy. Helps with mining.",,,,,

foodBiscuitsandgravy,items,Food,New,Biscuits and Gravy,,,,,
foodBiscuitsandgravyDesc,items,Food,New,"A straight forward breakfast great for curing a hangover.",,,,,

toolBarTools,items,Item,New,Bar Tools,,,,,
toolBarToolsDesc,items,Item,New,"A set of bartending tools required for crafting complex beverages.",,,,,
toolKitchenTools,items,Item,New,Precision Cooking Tools,,,,,
toolKitchenToolsDesc,items,Item,New,"A collection of high quality knives, measuring tools, and cooking utensils which are required for crafting many types of food."
toolCookSet,items,Item,New,High Quality Cookware,,,,,
toolCookSetDesc,items,Item,New,"A set of fine cooking pots and pans necessary for complex dishes."
workingOven,blocks,Block,New,A Working Oven,,,,,
StoveDesc,blocks,Block,New,A functional wood powered oven capable of cooking a variety of filling dishes. ,,,,,


foodPemmican,items,Food,New,Pemmican,,,,,
foodPemmicanDesc,items,Food,New,"A dried survival food created from meat and fiber. Pragmatic for cold weather survival.",,,,,

drinkBlueberryWine,items,Food,New,Fine Blueberry Wine,,,,,
drinkBlueberryWineDesc,items,Food,New,"An elegantly composed and aged wine created from the finest cultivars of Arizona blueberries brought to you by fine artisans. Quality product worth a lot to those with fine taste.",,,,,
buffdrinkBlueberryWineName,buffs,Buff,New,Celebratory Bliss,,,,,
buffdrinkBlueberryWineDesc,buffs,Buff,New,A rare indulgence in an expensive bottle results in a more party like atmosphere.,,,,,

Tpaper,items,Item,new,Toilet Paper
buttwipeDesc,items,Item,new,The new gold of the Arizona apocalypse...apparently.\n\nScrap to paper.
goldBar,items,Item,new,Gold Bar
goldBarDesc,items,Item,new,A highly valuable bar of gold. Can converted to dukes.

foodColeslaw,items,Food,New,Coleslaw,,,,,
foodColeslawDesc,items,Food,New,"Mildly fermented cabbage preparation full of vitamins and minerals.",,,,,

foodCapreseSalad,items,Food,New,Caprese Salad,,,,,
foodCapreseSaladDesc,items,Food,New,"A classic italian salad composed of fresh mozzarella and tomatoes.",,,,,
foodGrilledSalad,items,Food,New,Grilled Chicken Salad,,,,,
foodGrilledSaladDesc,items,Food,New,"Get your fiber and nutrients from veggies and the taste of slightly burnt animal flesh.",,,,,
saladDesc,items,Food,New,"How to eat a diet food without losing your will to live.",,,,,

foodKimchi,items,Food,New,Cabbage Kimchi,,,,,
foodKimchiDesc,items,Food,New,"Actual properly made fresh kimchi. Spicy, salty, acrid, with a slight tingle that lingers in the mouth.",,,,,

foodKimchijjigae,items,Food,New,Kimchi Jjigae,,,,,
foodKimchijjigaeDesc,items,Food,New,"Aged kimchi mixed with meat in a stew. Spicy, salty, acrid, and filled with collagen will make your skin healthy. Prevents abrasions for a short amount of time.",,,,,
buffkimchijjigae,buffs,Buff,New,Resilient Epidermis,,,,,
buffkimchijjigaedesc,buffs,Buff,New,A dense stew provides your with strong skin and resistance to abrasions.,,,,,

foodBLT,items,Food,New,BLT sandwich,,,,,
foodBLTDesc,items,Food,New,"Simple and filling. Use that dusty sandwich-press you got for christmas five years ago.",,,,,

drinkJarGrainAlcohol,items,Food,New,Grain Alcohol,,,,,
drinkJarGrainAlcoholDesc,items,Food,New,Grain alcohol can be made in a beaker at a campfire. Useful for advanced beverages.,,,,,

drinkWhisky,items,Food,New,Ricky Joel's Bourbon,,,,,
drinkWhiskyDesc,items,Food,New,Barrel aged Texas whiskey which makes you shoot harder. Please drink responsibly.,,,,,
buffdrinkWhiskyName,buffs,Buff,New,Bourbon Blaster,,,,,
buffdrinkWhiskyDesc,buffs,Buff,New,Cask strength harshness grants you increased damage against enemies.,,,,,

wineBarrelworkbench,blocks,Block,New,Liquor Barrel,,,,,
wineBarrelworkbenchDesc,blocks,Block,New,A wood barrel designed for producton of alcoholic beverages,,,,,

drinkVodka,items,Food,New,Stratim Potato Vodka,,,,,
drinkVodkaDesc,items,Food,New,Is boris with secret russian tip on how to shoot gun... YES! Drink the fun time water and bang is moving rapid... YES! Please drink responsibly.,,,,,
buffdrinkVodkaName,buffs,Buff,New,Triggerfinger,,,,,
buffdrinkVodkaDesc,buffs,Buff,New,The potato gods have granted you increased fire rate on automatic guns.,,,,,

drinkGin,items,Food,New,Gunslinger Sloe Gin,,,,,
drinkGinDesc,items,Food,New,Cowboy action shooters need a good drink to wet their whistle between droppin every bandito in town. Slug back a shot of this and you'll be ready for a high noon showdown. Improves revolver skills.,,,,,
buffHighNoonName,buffs,Buff,New,Showdown Swagger,,,,,
buffHighNoonNameDesc,buffs,Buff,New,Its high noon yall and I got me a godly six shooter!,,,,,

drinkHuntmaster,items,Food,New,Hunter's Special Brew,,,,,
drinkHuntmasterDesc,items,Food,New,"An old alcoholic infusion created by marksmen and hunters to make them undefeatable in combat, or perhaps to numb the sense of incoming doom. Improves your long rifle abilities.",,,,,
buffdrinkHunterBoozeName,buffs,Buff,New,Boozed Hunter,,,,,
buffdrinkHunterBoozeDesc,buffs,Buff,New,A special brew's feeling results in improved rifle handling.,,,,,

seedAppleDesc,buffs,Buff,New,Plant this seed to grow an apple tree. Mature trees can be looted for apples. Loot more apples by perking into living off the land.,,,,,

drinkSmertJuice,items,Food,New,Monsieur Cafe Coffee Liqueur,,,,,
drinkSmertJuiceDesc,items,Food,New,"A caffeine packed alcoholic beverage designed to amplify the manic study habits of nerds, college students, and gamers. Allows activation of one additional turret.",,,,,
buffSmertJuiceName,buffs,Food,New,Caffeine Rush,,,,,
buffSmertJuiceDesc,buffs,Food,New,You are able to to have one additional active turret,,,,,

statAbrasionResist,ui_display,Item stat,New,Abrasion Resist,,,,,
statdrinkGinA,ui_display,Item stat,New,Revolver Rounds/Min,,,,,
statdrinkGinB,ui_display,Item stat,New,Revolver Damage,,,,,
statdrinkGinC,ui_display,Item stat,New,Revolver Reload Speed,,,,,
statdrinkHMA,ui_display,Item stat,New,Rifle Accuracy,,,,,
statdrinkHMB,ui_display,Item stat,New,Rifle Damage,,,,,
statdrinkHMC,ui_display,Item stat,New,Rifle Reload Speed,,,,,
statSmert,ui_display,Item stat,New,Active Turrets,,,,,
statWine,ui_display,Item stat,New,Celebration,,,,,

toolKitchenMixer,items,Food,New,Electric Mixer,,,,,
toolKitchenMixerDesc,items,Food,New,An electric kitchen mixing tool with many attachments which dramatically speeds up cooking.,,,,,

craftingSeedsNewDesc,progression,Attribute,New,Reading [DECEA3]Southern Farming[-] will unlock various tiers of seeds and farming items.\nBoost loot odds with [DECEA3]Living off the Land[-],,,,,
craftingSeedsNewName,progression,Attribute,New,Seeds and Farming Equipment,,,,,
craftingDrinkDesc,progression,Attribute,New,Reading [DECEA3]Barfly Weekly[-] will unlock various drinks and alcohols.\nBoost loot odds with [DECEA3]Master Chef[-],,,,,
craftingDrinkName,progression,Attribute,New,Drinks and Alcoholic Beverages,,,,,

drinkSkillMagazine,items,Drink,New,Barfly Weekly,,,,,
drinkSkillMagazineDesc,items,Drink,New,Make sure you are informed about classic cocktails and new drinks so your guest will never go thirsty!\n\nImproves drink crafting skill.,,,,,

newperkLivingOffTheLandDesc,progression,perk For,,,Specialize in harvesting more crops using your hands or a tool. Gather more food from natural sources,,,,,
newperkLivingOffTheLandRank1LongDesc,progression,perk For,,,Double the harvest of wild or planted crops.\nFarm plots cost 30% less to craft.\nGather 50% more Apples and Eggs.,,,,,
newperkLivingOffTheLandRank2LongDesc,progression,perk For,,,50% chance to harvest 1 additional crop.\nFarm plots cost 50% less to craft.\nDouble the amount of Apples and Eggs found.,,,,,
newperkLivingOffTheLandRank3LongDesc,progression,perk For,,,Triple the harvest of wild or planted crops.\nTriple the amount of Apples and Eggs found.\nDouble the amount of Honey found in beehives.,,,,,

newfoodT1-1,progression,Attribute,New,Tier 1: Grilled Corn & Baked Potato,,,,,
newfoodT1-2,progression,Attribute,New,Tier 1: Pemmican & Porridge,,,,,
newfoodT1-3,progression,Attribute,New,"Tier 1: Grilled Meat",,,,,
newfoodT1-4,progression,Attribute,New,"Tier 1: Boiled Meat",,,,,
newfoodT1-5,progression,Attribute,New,"Tier 1: Rice Bowl",,,,,
newfoodT2-1,progression,Attribute,New,"Tier 2: Breads & Coleslaw",,,,,
newfoodT2-2,progression,Attribute,New,"Tier 2: Mashed Potatoes",,,,,
newfoodT2-3,progression,Attribute,New,"Tier 2: Bacon & Eggs, Jams, & Arroz & Pollo",,,,,
newfoodT2-4,progression,Attribute,New,"Tier 2: Steak and Potato & Honey Ham",,,,,
newfoodT2-5,progression,Attribute,New,"Tier 2: Vegetable Stew & Fruit Platter",,,,,
newfoodT3-1,progression,Attribute,New,"Tier 3: Meat & Hobo Stews",,,,,
newfoodT3-2,progression,Attribute,New,"Tier 3: Pies",,,,,
newfoodT3-3,progression,Attribute,New,"Tier 3: Hamburger, Pizza & Salads",,,,,
newfoodT3-4,progression,Attribute,New,"Tier 3: Fried Rice, Burrito & Chili Dog",,,,,
newfoodT3-5,progression,Attribute,New,"Tier 3: BLT & Fish Tacos",,,,,
newfoodT4-1,progression,Attribute,New,"Tier 4: Sham Chowder & Breakfast Foods",,,,,
newfoodT4-2,progression,Attribute,New,"Tier 4: Kimchi & Chicken Ration Meal",,,,,
newfoodT4-3,progression,Attribute,New,"Tier 4: Huevos Rancheros",,,,,
newfoodT4-4,progression,Attribute,New,"Tier 4: Tonjiru, Jambalaya & Cheesecake",,,,,
newfoodT4-5,progression,Attribute,New,"Tier 4: Kimchi Jjigae",,,,,
newfoodT5-1,progression,Attribute,New,"Tier 5: Tuna Gravy Toast",,,,,
newfoodT5-2,progression,Attribute,New,"Tier 5: Spaghetti",,,,,
newfoodT5-3,progression,Attribute,New,"Tier 5: Shepard's Pie & Breakfast Meal",,,,,
newfoodT5-4,progression,Attribute,New,"Tier 5: Gumbo & Fried Chicken",,,,,
newfoodT5-5,progression,Attribute,New,"Tier 5: English Breakfast",,,,,

drinkT1-1,progression,Attribute,New,Tier 1: Goldenrod Tea,,,,,
drinkT1-2,progression,Attribute,New,Tier 1: Red Tea,,,,,
drinkT1-3,progression,Attribute,New,Tier 1: Yucca & Apple Juice,,,,,
drinkT1-4,progression,Attribute,New,Tier 1: Coffee,,,,,
drinkT1-5,progression,Attribute,New,Tier 1: Yucca Smoothie & Apple Cider,,,,,
drinkT2-1,progression,Attribute,New,Tier 2: Milkshake,,,,,
drinkT2-2,progression,Attribute,New,Tier 2: Grain Alcohol,,,,,
drinkT2-3,progression,Attribute,New,Tier 2: Wine Barrel,,,,,
drinkT2-4,progression,Attribute,New,Tier 2: Beer,,,,,
drinkT2-5,progression,Attribute,New,Tier 2: Tequila & Hunter's Brew,,,,,
drinkT3-1,progression,Attribute,New,Tier 3: Grandpa's Moonshine & Whisky,,,,,
drinkT3-2,progression,Attribute,New,Tier 3: Grandpa's Awesome Sauce & Gin,,,,,
drinkT3-3,progression,Attribute,New,Tier 3: Grandpa's Learning Elixir & Vodka,,,,,
drinkT3-4,progression,Attribute,New,Tier 3: Coffee Liqueur,,,,,
drinkT3-5,progression,Attribute,New,Tier 3: Blueberry Wine,,,,,

seedsT3-1,progression,Attribute,New,Tier 3: Chicken Nest,,,,,
seedsT3-2,progression,Attribute,New,Tier 3: Bee Hive,,,,,
newseedsT2-1,progression,Attribute,New,"Tier 2: Blueberry, Hops & Apple",,,,,
newseedsT2-2,progression,Attribute,New,Tier 2: Pumpkin & Onion,,,,,
newseedsT2-3,progression,Attribute,New,Tier 2: Mushroom & Cabbage,,,,,
newseedsT2-4,progression,Attribute,New,Tier 2: Corn & Wheat,,,,,
newseedsT2-5,progression,Attribute,New,Tier 2: Potato & Tomato,,,,,

newworkstationsT2-2,progression,Attribute,New,Tier 2: Lock Picks & Oven,,,,,
newworkstationsT2-4,progression,Attribute,New,Tier 2: Anvil & Kitchen Tools,,,,,
newworkstationsT3-1,progression,Attribute,New,Tier 3: Cement Mixer & Cookware,,,,, 
newworkstationsT3-2,progression,Attribute,New,Tier 3: Kitchen Mixer,,,,, 

questRewardT4DrinkBundle,items,Food,New,Liquor Bundle,,,,,
questRewardT4DrinkBundledesc,items,Food,New,"A bundle of Liquor bottles",,,,,
