Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
perkMHSdec1,progression,Attribute,,,+ 10 Maximum HP/ST,+ 10 HP/ST Máximo,+ 10 HP/ST Máximo
perkMHSdec2,progression,Attribute,,,+ 20 Maximum HP/ST,+ 20 HP/ST Máximo,+ 20 HP/ST Máximo
perkMHSdec3,progression,Attribute,,,+ 30 Maximum HP/ST,+ 30 HP/ST Máximo,+ 30 HP/ST Máximo
perkMHSdec4,progression,Attribute,,,+ 40 Maximum HP/ST,+ 40 HP/ST Máximo,+ 40 HP/ST Máximo
perkMHSdec5,progression,Attribute,,,+ 50 Maximum HP/ST,+ 50 HP/ST Máximo,+ 50 HP/ST Máximo
perkMHSlongdec1,progression,Attribute,,,Increase your maximum health and stamine by 10,Incrementa tu máximo de vida y aguante en 10,Incrementa tu máximo de vida y aguante en 10
perkMHSlongdec2,progression,Attribute,,,Increase your maximum health and stamine by 20,Incrementa tu maximo de vida y aguante en 20,Incrementa tu maximo de vida y aguante en 20
perkMHSlongdec3,progression,Attribute,,,Increase your maximum health and stamine by 30,Incrementa tu máximo de vida y aguante en 30,Incrementa tu máximo de vida y aguante en 30
perkMHSlongdec4,progression,Attribute,,,Increase your maximum health and stamine by 40,Incrementa tu máximo de vida y aguante en 40,Incrementa tu máximo de vida y aguante en 40
perkMHSlongdec5,progression,Attribute,,,Increase your maximum health and stamine by 50,Incrementa tu máximo de vida y aguante en 50,Incrementa tu máximo de vida y aguante en 50
perkAcro,progression,Attribute,,,Mobility Master,Maestro de la Mobilidad,Maestro de la Mobilidad
perkAcrodesc,progression,Attribute,,,Learn the way to move faster and nimble,Aprende las maestrías de moverte de forma ágil y rápida,Aprende las maestrías de moverte de forma ágil y rápida
perkAcrodesc1,progression,Attribute,,,"+3% Speed, +1m Safe Fall Distanc","+3% Velocidad, +1m de caída segura","+3% Velocidad, +1m de caída segura"
perkAcrodesc2,progression,Attribute,,,"+6% Speed, +2m Safe Fall Distanc","+6% Velocidad, +2m de caída segura","+6% Velocidad, +2m de caída segura"
perkAcrodesc3,progression,Attribute,,,"+9% Speed, +3m Safe Fall Distanc","+9% Velocidad, +3m de caída segura","+9% Velocidad, +3m de caída segura"
perkAcrodesc4,progression,Attribute,,,"+12% Speed, +4m Safe Fall Distanc","+12% Velocidad, +4m de caída segura","+12% Velocidad, +4m de caída segura"
perkAcrodesc5,progression,Attribute,,,"+15% Speed, +5m Safe Fall Distanc","+15% Velocidad, +5m de caída segura","+15% Velocidad, +5m de caída segura"
perkAcrolongdesc1,progression,Attribute,,,Increase your speed by 3% and safe fall distance by 1m,Incrementa tu velocidad en 3% y tu distancia de caída segura en 1m,Incrementa tu velocidad en 3% y tu distancia de caída segura en 1m
perkAcrolongdesc2,progression,Attribute,,,Increase your speed by 6% and safe fall distance by 2m,Incrementa tu velocidad en 6% y tu distancia de caída segura en 2m,Incrementa tu velocidad en 6% y tu distancia de caída segura en 2m
perkAcrolongdesc3,progression,Attribute,,,Increase your speed by 9% and safe fall distance by 3m,Incrementa tu velocidad en 9% y tu distancia de caída segura en 3m,Incrementa tu velocidad en 9% y tu distancia de caída segura en 3m
perkAcrolongdesc4,progression,Attribute,,,Increase your speed by 12% and safe fall distance by 4m,Incrementa tu velocidad en 12% y tu distancia de caída segura en 4m,Incrementa tu velocidad en 12% y tu distancia de caída segura en 4m
perkAcrolongdesc5,progression,Attribute,,,Increase your speed by 15% and safe fall distance by 5m,Incrementa tu velocidad en 15% y tu distancia de caída segura en 5m,Incrementa tu velocidad en 15% y tu distancia de caída segura en 5m
perkStr,progression,Attribute,,,Endurance Master,Maestro de la Resistencia,Maestro de la Resistencia,Maestro de la Resistencia
perkStrdesc,progression,Attribute,,,Now you can be a true endurace master!,Ahora puedes maestrear las formas para soportar más!,Ahora puedes maestrear las formas para soportar más!
perkStrdesc1,progression,Attribute,,,+5% Attack Speed/Stamine gain -5% Stamine loss,+5% Velocidad de ataque/Ganancias de Stamina -5% Perdida de Stamina,+5% Velocidad de ataque/Ganancias de Stamina -5% Perdida de Stamina
perkStrdesc2,progression,Attribute,,,+10% Attack Speed/Stamine gain -10% Stamine loss,+10% Velocidad de ataque/Ganancias de Stamina -10% Perdida de Stamina,+10% Velocidad de ataque/Ganancias de Stamina -10% Perdida de Stamina
perkStrdesc3,progression,Attribute,,,+15% Attack Speed/Stamine gain -15% Stamine loss,+15% Velocidad de ataque/Ganancias de Stamina -15% Perdida de Stamina,+15% Velocidad de ataque/Ganancias de Stamina -15% Perdida de Stamina
perkStrdesc4,progression,Attribute,,,+20% Attack Speed/Stamine gain -20% Stamine loss,+20% Velocidad de ataque/Ganancias de Stamina -20% Perdida de Stamina,+20% Velocidad de ataque/Ganancias de Stamina -20% Perdida de Stamina
perkStrdesc5,progression,Attribute,,,+25% Attack Speed/Stamine gain -25% Stamine loss,+25% Velocidad de ataque/Ganancias de stamina -25% Perdida de stamina,+25% Velocidad de ataque/Ganancias de stamina -25% Perdida de stamina
perkStrlongdesc1,progression,Attribute,,,Increase your Melee Attack Speed and stamine regen by 5%\nDecrease your stamine loss by 5%,Incrementa tu velocidad de ataque y regeneración de stamina en 5%\nReduce tu uso de stamina en 5%,Incrementa tu velocidad de ataque y regeneración de stamina en 5%\nReduce tu uso de stamina en 5%
perkStrlongdesc2,progression,Attribute,,,Increase your Melee Attack Speed and stamine regen by 10%\nDecrease your stamine loss by 10%,Incrementa tu velocidad de ataque y regeneración de stamina en 10%\nReduce tu uso de stamina en 10%,Incrementa tu velocidad de ataque y regeneración de stamina en 10%\nReduce tu uso de stamina en 10%
perkStrlongdesc3,progression,Attribute,,,Increase your Melee Attack Speed and stamine regen by 15%\nDecrease your stamine loss by 15%,Incrementa tu velocidad de ataque y regeneración de stamina en 15%\nReduce tu uso de stamina en 15%,Incrementa tu velocidad de ataque y regeneración de stamina en 15%\nReduce tu uso de stamina en 15%
perkStrlongdesc4,progression,Attribute,,,Increase your Melee Attack Speed and stamine regen by 20%\nDecrease your stamine loss by 20%,Incrementa tu velocidad de ataque y regeneración de stamina en 20%\nReduce tu uso de stamina en 20%,Incrementa tu velocidad de ataque y regeneración de stamina en 20%\nReduce tu uso de stamina en 20%
perkStrlongdesc5,progression,Attribute,,,Increase your Melee Attack Speed and stamine regen by 25%\nDecrease your stamine loss by 25%,Incrementa tu velocidad de ataque y regeneración de stamina en 25%\nReduce tu uso de stamina en 25%,Incrementa tu velocidad de ataque y regeneración de stamina en 25%\nReduce tu uso de stamina en 25%
perkCra,progression,Attribute,,,The Art of Crathing,El Arte de la Creación,El Arte de la Creación
perkCradesc,progression,Attribute,,,You can dominate the art of crafthing!,Puedes dominar el arte de toda creación!,Puedes dominar el arte de toda creación!
perkCradesc1,progression,Attribute,,,+5% Crafthing Speed,+5% Velocidad de Crafteo,+5% Velocidad de Crafteo
perkCradesc2,progression,Attribute,,,+10% Crafthing Speed,+10% Velocidad de Crafteo,+10% Velocidad de Crafteo
perkCradesc3,progression,Attribute,,,+15% Crafthing Speed,+15% Velocidad de Crafteo,+15% Velocidad de Crafteo
perkCradesc4,progression,Attribute,,,+20% Crafthing Speed,+20% Velocidad de Crafteo,+20% Velocidad de Crafteo
perkCradesc5,progression,Attribute,,,+25% Crafthing Speed,+25% Velocidad de Crafteo,+25% Velocidad de Crafteo
perkCralongdesc1,progression,Attribute,,,Increase your Crafthing speed on all items by 5%,Incrementa tu velocidad de crafteo en todos los ítems en 5%,Incrementa tu velocidad de crafteo en todos los ítems en 5%
perkCralongdesc2,progression,Attribute,,,Increase your Crafthing speed on all items by 10%,Incrementa tu velocidad de crafteo en todos los ítems en 10%,Incrementa tu velocidad de crafteo en todos los ítems en 10%
perkCralongdesc3,progression,Attribute,,,Increase your Crafthing speed on all items by 15%,Incrementa tu velocidad de crafteo en todos los ítems en 15%,Incrementa tu velocidad de crafteo en todos los ítems en 15%
perkCralongdesc4,progression,Attribute,,,Increase your Crafthing speed on all items by 20%,Incrementa tu velocidad de crafteo en todos los ítems en 20%,Incrementa tu velocidad de crafteo en todos los ítems en 20%
perkCralongdesc5,progression,Attribute,,,Increase your Crafthing speed on all items by 25%,Incrementa tu velocidad de crafteo en todos los ítems en 25%,Incrementa tu velocidad de crafteo en todos los ítems en 25%
perkHeal,progression,Attribute,,,The Art of Healing,El Arte de la Curación,El Arte de la Curación
perkHealdesc,progression,Attribute,,,You are now a true doctor that learned the art of healing,Ahora eres un doctor verdadero que aprendió el arte de la curación ,Ahora eres un doctor verdadero que aprendió el arte de la curación 
perkHealdesc1,progression,Attribute,,,+5% Healing items / +1hp every 60 seconds / -20% Critical injuries,+5% Ítems curativos / +1hp cada 60 segundos / -20% Heridas criticas,+5% Ítems curativos / +1hp cada 60 segundos / -20% Heridas criticas
perkHealdesc2,progression,Attribute,,,+10% Healing items / +1hp every 30 seconds / -40% Critical injuries,+10% Ítems curativos / +1hp cada 30 segundos / -40% Heridas criticas,+10% Ítems curativos / +1hp cada 30 segundos / -40% Heridas criticas
perkHealdesc3,progression,Attribute,,,+15% Healing items / +1hp every 15 seconds / -60% Critical injuries,+15% Ítems curativos / +1hp cada 15 segundos / -60% Heridas criticas,+15% Ítems curativos / +1hp cada 15 segundos / -60% Heridas criticas
perkHealdesc4,progression,Attribute,,,+20% Healing items / +1hp every 8 seconds / -80% Critical injuries,+20% Ítems curativos / +1hp cada 8 segundos / -80% Heridas criticas,+20% Ítems curativos / +1hp cada 8 segundos / -80% Heridas criticas
perkHealdesc5,progression,Attribute,,,+25% Healing items / +1hp every 4 seconds / -100% Critical injuries,+25% Ítems curativos / +1hp cada 4 segundos / -100% Heridas criticas,+25% Ítems curativos / +1hp cada 4 segundos / -100% Heridas criticas
perkHeallongdesc1,progression,Attribute,,,Increase your Healing of healing items by 10%\nRecuperate +1 hp every 60 seconds\nCritical injuries heal 20% faster\n\nSelf-healing will not work when you are out of food or water,Incrementa la recuperación de ítems de curacion en 10%\nRecuperas +1 hp cada 60 segundos\nLas Heridas críticas se curan 20% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.,Incrementa la recuperación de ítems de curacion en 10%\nRecuperas +1 hp cada 60 segundos\nLas Heridas críticas se curan 20% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.
perkHeallongdesc2,progression,Attribute,,,Increase your Healing of healing items by 20%\nRecuperate +1 hp every 30 seconds\nCritical injuries heal 40% faster\n\nSelf-healing will not work when you are out of food or water,Incrementa la recuperación de ítems de curación en 20%\nRecuperas +1 hp cada 30 segundos\nLas Heridas críticas se curan 40% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.,Incrementa la recuperación de ítems de curación en 20%\nRecuperas +1 hp cada 30 segundos\nLas Heridas críticas se curan 40% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.
perkHeallongdesc3,progression,Attribute,,,Increase your Healing of healing items by 30%\nRecuperate +1 hp every 15 seconds\nCritical injuries heal 60% faster\n\nSelf-healing will not work when you are out of food or water,Incrementa la recuperación de ítems de curación en 30%\nRecuperas +1 hp cada 15 segundos\nLas Heridas críticas se curan 60% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.,Incrementa la recuperación de ítems de curación en 30%\nRecuperas +1 hp cada 15 segundos\nLas Heridas críticas se curan 60% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.
perkHeallongdesc4,progression,Attribute,,,Increase your Healing of healing items by 40%\nRecuperate +1 hp every 8 seconds\nCritical injuries heal 80% faster\n\nSelf-healing will not work when you are out of food or water,Incrementa la recuperación de ítems de curación en 40%\nRecuperas +1 hp cada 8 segundos\nLas Heridas críticas se curan 80% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.,Incrementa la recuperación de ítems de curación en 40%\nRecuperas +1 hp cada 8 segundos\nLas Heridas críticas se curan 80% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.
perkHeallongdesc5,progression,Attribute,,,Increase your Healing of healing items by 50%\nRecuperate +1 hp every 4 seconds\nCritical injuries heal 100% faster\n\nSelf-healing will not work when you are out of food or water,Incrementa la recuperación de ítems de curación en 50%\nRecuperas +1 hp cada 4 segundos\nLas Heridas críticas se curan 100% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.,Incrementa la recuperación de ítems de curación en 50%\nRecuperas +1 hp cada 4 segundos\nLas Heridas críticas se curan 100% más rápido\n\nLa auto curación no funcionará cuando se te acabe la comida o el agua.
perkFoo,progression,Attribute,,,The Art of Cooking,El Arte de la Cocina,El Arte de la Cocina
perkFoodesc,progression,Attribute,,,"You learned everything about Cooking, your Food is now a piece of Art\n\nRequires Iron Guts lvl 5","Has Aprendido todo de la cocina, tu comida ahora es una pieza de Arte\n\nRequiere Tripa de hierro lvl 5","Has Aprendido todo de la cocina, tu comida ahora es una pieza de Arte\n\nRequiere Tripa de hierro lvl 5"
perkFoodesc1,progression,Attribute,,,"+10% Buffs / -5% Food and Water loss","+10% Buffs / -5% Perdida de Agua, Comida","+10% Buffs / -5% Perdida de Agua, Comida"
perkFoodesc2,progression,Attribute,,,"+20% Buffs / -10% Food and Water loss","+20% Buffs / -10% Perdida de Agua, Comida","+20% Buffs / -10% Perdida de Agua, Comida"
perkFoodesc3,progression,Attribute,,,"+30% Buffs / -15% Food and Water loss","+30% Buffs / -15% Perdida de Agua, Comida","+30% Buffs / -15% Perdida de Agua, Comida"
perkFoodesc4,progression,Attribute,,,"+40% Buffs / -20% Food and Water loss","+40% Buffs / -20% Perdida de Agua, Comida","+40% Buffs / -20% Perdida de Agua, Comida"
perkFoodesc5,progression,Attribute,,,"+50% Buffs / -25% Food and Water loss/ +1 Item Farmed","+50% Buffs / -25% Perdida de Agua, Comida / -25% Tiempo de cocina / +1 Item cultivado","+50% Buffs / -25% Perdida de Agua, Comida / -25% Tiempo de cocina / +1 Item cultivado"
perkFoolongdesc1,progression,Attribute,,,Increase your buff duration time by 10%\nDecreases your Food and water loss by 5%\nDecreases your coocking crafthing time by 5%\n\nAll effects stack with Iron Guts and Master Chef perks,Incrementa la duración de tus buffs en 10%\nReduce tu perdida de agua y comida en 5%\nReduce el tiempo de crafteo de la cocina en 5%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro,Incrementa la duración de tus buffs en 10%\nReduce tu perdida de agua y comida en 5%\nReduce el tiempo de crafteo de la cocina en 5%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro
perkFoolongdesc2,progression,Attribute,,,Increase your buff duration time by 20%\nDecreases your Food and water loss by 10%\nDecreases your coocking crafthing time by 10%\n\nAll effects stack with Iron Guts and Master Chef perks,Incrementa la duración de tus buffs en 20%\nReduce tu perdida de agua y comida en 10%\nReduce el tiempo de crafteo de la cocina en 10%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro,Incrementa la duración de tus buffs en 20%\nReduce tu perdida de agua y comida en 10%\nReduce el tiempo de crafteo de la cocina en 10%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro
perkFoolongdesc3,progression,Attribute,,,Increase your buff duration time by 30%\nDecreases your Food and water loss by 15%\nDecreases your coocking crafthing time by 15%\n\nAll effects stack with Iron Guts and Master Chef perks,Incrementa la duración de tus buffs en 30%\nReduce tu perdida de agua y comida en 15%\nReduce el tiempo de crafteo de la cocina en 15%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro,Incrementa la duración de tus buffs en 30%\nReduce tu perdida de agua y comida en 15%\nReduce el tiempo de crafteo de la cocina en 15%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro
perkFoolongdesc4,progression,Attribute,,,Increase your buff duration time by 40%\nDecreases your Food and water loss by 20%\nDecreases your coocking crafthing time by 20%\n\nAll effects stack with Iron Guts and Master Chef perks,Incrementa la duración de tus buffs en 40%\nReduce tu perdida de agua y comida en 20%\nReduce el tiempo de crafteo de la cocina en 20%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro,Incrementa la duración de tus buffs en 40%\nReduce tu perdida de agua y comida en 20%\nReduce el tiempo de crafteo de la cocina en 20%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro
perkFoolongdesc5,progression,Attribute,,,Increase your buff duration time by 50%\nDecreases your Food and water loss by 25%\nDecreases your coocking crafthing time by 25%\n\nAll effects stack with Iron Guts and Master Chef perks,Incrementa la duración de tus buffs en 50%\nReduce tu perdida de agua y comida en 25%\nReduce el tiempo de crafteo de la cocina en 25%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro,Incrementa la duración de tus buffs en 50%\nReduce tu perdida de agua y comida en 25%\nReduce el tiempo de crafteo de la cocina en 25%\n\nTodos los efectos hacen stack con los Perks de Tripa de hierro y Chef Maestro
perkslowdesc,progression,Attribute,,,Perk Iron Guts lvl 5,Perk Tripa de hierro lvl 5,Perk Tripa de hierro lvl 5
perkMin,progression,Attribute,,,Tool Specialist,Especialista en Herramientas,Especialista en Herramientas
perkMindesc,progression,Attribute,,,"You are now a specialist of tools and mining, is time to show all the power you can show with the right tool!","Ahora eres un especialista en herramientas y minería, es hora de mostrar todo el poder que tienes con el uso de la herramienta correcta!","Ahora eres un especialista en herramientas y minería, es hora de mostrar todo el poder que tienes con el uso de la herramienta correcta!"
perkMindesc1,progression,Attribute,,,"+10% Mineral/Salvage Harvest and block damage, +5% Tool ATM","+10% Farm de minerales y desarmado, +5% APM en herramientas","+10% Farm de minerales y desarmado, +5% APM en herramientas"
perkMindesc2,progression,Attribute,,,"+20% Mineral/Salvage Harvest and block damage, +10% Tool ATM","+20% Farm de minerales y desarmado, +10% APM en herramientas","+20% Farm de minerales y desarmado, +10% APM en herramientas"
perkMindesc3,progression,Attribute,,,"+30% Mineral/Salvage Harvest and block damage, +15% Tool ATM","+30% Farm de minerales y desarmado, +15% APM en herramientas","+30% Farm de minerales y desarmado, +15% APM en herramientas"
perkMindesc4,progression,Attribute,,,"+40% Mineral/Salvage Harvest and block damage, +20% Tool ATM","+40% Farm de minerales y desarmado, +20% APM en herramientas","+40% Farm de minerales y desarmado, +20% APM en herramientas"
perkMindesc5,progression,Attribute,,,"+50% Mineral/Salvage Harvest and block damage, +25% Tool ATM","+50% Farm de minerales y desarmado, +25% APM en herramientas","+50% Farm de minerales y desarmado, +25% APM en herramientas"
perkMinlongdesc1,progression,Attribute,,,"Increase Wood and Ore Farm by 10%\nIncrease Salvage harvest by 10%\nIncrease Block Damage by 10%\nIncrease tools attack speed by 5%","Incrementa el recurso de madera y minerales en 10%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 10%\nIncrementa el daño a bloque en 10%\nIncrementa la velocidad de ataque de herramientas en 5%","Incrementa el recurso de madera y minerales en 10%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 10%\nIncrementa el daño a bloque en 10%\nIncrementa la velocidad de ataque de herramientas en 5%"
perkMinlongdesc2,progression,Attribute,,,"Increase Wood and Ore Farm by 20%\nIncrease Salvage harvest by 20%\nIncrease Block Damage by 20%\nIncrease tools attack speed by 10%","Incrementa el recurso de madera y minerales en 20%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 20%\nIncrementa el daño a bloque en 20%\nIncrementa la velocidad de ataque de herramientas en 10%","Incrementa el recurso de madera y minerales en 20%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 20%\nIncrementa el daño a bloque en 20%\nIncrementa la velocidad de ataque de herramientas en 10%"
perkMinlongdesc3,progression,Attribute,,,"Increase Wood and Ore Farm by 30%\nIncrease Salvage harvest by 30%\nIncrease Block Damage by 30%\nIncrease tools attack speed by 15%","Incrementa el recurso de madera y minerales en 30%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 30%\nIncrementa el daño a bloque en 30%\nIncrementa la velocidad de ataque de herramientas en 15%","Incrementa el recurso de madera y minerales en 30%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 30%\nIncrementa el daño a bloque en 30%\nIncrementa la velocidad de ataque de herramientas en 15%"
perkMinlongdesc4,progression,Attribute,,,"Increase Wood and Ore Farm by 40%\nIncrease Salvage harvest by 40%\nIncrease Block Damage by 40%\nIncrease tools attack speed by 20%","Incrementa el recurso de madera y minerales en 40%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 40%\nIncrementa el daño a bloque en 40%\nIncrementa la velocidad de ataque de herramientas en 20%","Incrementa el recurso de madera y minerales en 40%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 40%\nIncrementa el daño a bloque en 40%\nIncrementa la velocidad de ataque de herramientas en 20%"
perkMinlongdesc5,progression,Attribute,,,"Increase Wood and Ore Farm by 50%\nIncrease Salvage harvest by 50%\nIncrease Block Damage by 50%\nIncrease tools attack speed by 25%","Incrementa el recurso de madera y minerales en 50%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 50%\nIncrementa el daño a bloque en 50%\nIncrementa la velocidad de ataque de herramientas en 25%","Incrementa el recurso de madera y minerales en 50%\nIncrementa el recurso al desarmar con llaves o herramientas similares en 50%\nIncrementa el daño a bloque en 50%\nIncrementa la velocidad de ataque de herramientas en 25%"
perkRSMS,progression,Attribute,,,Weapon Specialist,Especialista en Armas,Especialista en Armas
perkweadesc,progression,Attribute,,,"You are a true specialist with the fire weapons, is time to show up their true potential!\n\nExtra reaload speed do not work with m60/Dominator","Eres un verdadero especialista de las armas de fuego, es tiempo de mostar tu verdadero potencial!\n\nVelocidad de ataque adicional no funsiona con m60/Dominator","Eres un verdadero especialista de las armas de fuego, es tiempo de mostar tu verdadero potencial!\n\nVelocidad de ataque adicional no funsiona con m60/Dominator"
perkweadesc1,progression,Attribute,,,+5% Range/Megazine/Reload Speed,+5% Rango/Cargador/Velocidad de recarga,+5% Rango/Cargador/Velocidad de recarga
perkweadesc2,progression,Attribute,,,+10% Range/Megazine/Reload Speed,+10% Rango/Cargador/Velocidad de recarga,+10% Rango/Cargador/Velocidad de recarga
perkweadesc3,progression,Attribute,,,+15% Range/Megazine/Reload Speed,+15% Rango/Cargador/Velocidad de recarga,+15% Rango/Cargador/Velocidad de recarga
perkweadesc4,progression,Attribute,,,+20% Range/Megazine/Reload Speed,+20% Rango/Cargador/Velocidad de recarga,+20% Rango/Cargador/Velocidad de recarga
perkweadesc5,progression,Attribute,,,"+25% Range/Megazine/Reload Speed, Craft lvl 6 weapons ","+25% Rango/Cargador/Velocidad de recarga, Crafeto de Armas lvl 6","+25% Rango/Cargador/Velocidad de recarga, Crafeto de Armas lvl 6"
perkwealongdesc1,progression,Attribute,,,Increase your Range with Ranged Weapons by 5%\nIncrease your Megazine side with Ranged Weapons by 5%\nIncrease your Reload speed with Ranged Weapons by 5%,Incrementa tu rango con armas a distancia en 5%\nIncrementa el tamaño de cargador de armas a distancia en 5%\nIncrementa tu velocidad de recarga con armas a distancia en 5%,Incrementa tu rango con armas a distancia en 5%\nIncrementa el tamaño de cargador de armas a distancia en 5%\nIncrementa tu velocidad de recarga con armas a distancia en 5%
perkwealongdesc2,progression,Attribute,,,Increase your Range with Ranged Weapons by 10%\nIncrease your Megazine side with Ranged Weapons by 10%\nIncrease your Reload speed with Ranged Weapons by 10%,Incrementa tu rango con armas a distancia en 10%\nIncrementa el tamaño de cargador de armas a distancia en 10%\nIncrementa tu velocidad de recarga con armas a distancia en 10%,Incrementa tu rango con armas a distancia en 10%\nIncrementa el tamaño de cargador de armas a distancia en 10%\nIncrementa tu velocidad de recarga con armas a distancia en 10%
perkwealongdesc3,progression,Attribute,,,Increase your Range with Ranged Weapons by 15%\nIncrease your Megazine side with Ranged Weapons by 15%\nIncrease your Reload speed with Ranged Weapons by 15%,Incrementa tu rango con armas a distancia en 15%\nIncrementa el tamaño de cargador de armas a distancia en 15%\nIncrementa tu velocidad de recarga con armas a distancia en 15%,Incrementa tu rango con armas a distancia en 15%\nIncrementa el tamaño de cargador de armas a distancia en 15%\nIncrementa tu velocidad de recarga con armas a distancia en 15%
perkwealongdesc4,progression,Attribute,,,Increase your Range with Ranged Weapons by 20%\nIncrease your Megazine side with Ranged Weapons by 20%\nIncrease your Reload speed with Ranged Weapons by 20%,Incrementa tu rango con armas a distancia en 20%\nIncrementa el tamaño de cargador de armas a distancia en 20%\nIncrementa tu velocidad de recarga con armas a distancia en 20%,Incrementa tu rango con armas a distancia en 20%\nIncrementa el tamaño de cargador de armas a distancia en 20%\nIncrementa tu velocidad de recarga con armas a distancia en 20%
