Key,File,Type,UsedInMainMenu,NoTranslate,english
PortableWeaponcaseHuntingrifle,items,item,,,"[33FF00]UNLOCKED*[ffffff] Sniper Travel Case"
PortableWeaponcaseHuntingrifleDesc,items,item,,,"Hunting rifle case, Looks to be in good condition!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"
PortableWeaponcaseleaverrifle,items,item,,,"[33FF00]UNLOCKED*[ffffff] Leaver Action Rifle Travel Case"
PortableWeaponcaseleaverrifleDesc,items,item,,,"Leaver rifle case, Looks to be in good condition its been in the elements a long time!.


[33FF00]Gives you a chance to get tiers 1-6 or just ammo[ffffff]


"

















GunsafekeyCrossbow,items,item,,,"Crossbow Case Key"
Gunsafekey9MM,items,item,,,"9MM Case Key"
GunsafekeyMagnum,items,item,,,"Magnum Case Key"
GunsafekeyVulture,items,item,,,"Vulture Case Key"

GunsafekeyM4,items,item,,,"M4 Case Key"
GunsafekeyAK,items,item,,,"AK47 Case Key"
GunsafekeyHunting,items,item,,,"Dragonov Case Key"
GunsafekeyMP5,items,item,,,"MP5 Case Key"

GunsafekeyLeaver,items,item,,,"Leaver action Rifle Case Key"
Gunsafekeyshotgun,items,item,,,"Pump Action Shotgun Case Key"
Gunsafekeydoubleshotgun,items,item,,,"Double Barrel Shotgun Case Key"

