Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
CMeDesc,items,Desc,,, Esta clase generara ítems de comida y ropa básica además de utilidad de mecanica \n\nITEMS: Magnum .44 / 200 balas .44 / llave de  / Chasis Mini moto / Manubrio Mini moto / 2 Llantas / 2500 Gasolina / Kit de esquemas de vehiculos \n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de utilidad de mecánica \n\nITEMS: Magnum .44 / 200 balas .44 / llave de  / Chasis Mini moto / Manubrio Mini moto / 2 Llantas / 2500 Gasolina / Kit de esquemas de vehículos \n\n //-- Foto con sus items en Discord--//
CMdDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de utilidad de medicina \n\nITEMS: Desert .44 y su esquema/ 150 balas HP .44 / Estación Química y su esquema / Kit de Curadores / Kit de Drogas / 5 Recog / Full Set Armadura de Tela / Kit Esquemas de curadores\n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de utilidad de medicina \n\nITEMS: Desert .44 y su esquema/ 150 balas HP .44 / Estación Química y su esquema / Kit de Curadores / Kit de Drogas / 5 Recog / Full Set Armadura de Tela / Kit Esquemas de curadores\n\n //-- Foto con sus items en Discord--//
CMiDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de utilidad de minería \n\nITEMS: Escopeta de Pompeo y su esquema/ 100 Cartuchos de escopeta / Pico de Acero / Fragua y su esquema / Kit de Recursos mineros / 100 Lingotes de Hierro y Acero Forjados /  Casco Minero / 1 Yunque / Kit de esquemas para la forja / 3 Linternas \n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de utilidad de minería \n\nITEMS: Escopeta de Pompeo y su esquema/ 100 Cartuchos de escopeta / Pico de Acero / Fragua y su esquema / Kit de Recursos mineros / 100 Lingotes de Hierro y Acero Forjados /  Casco Minero / 1 Yunque / Kit de esquemas para la forja / 3 Linternas \n\n//-- Foto con sus items en Discord--//
CSDesc,items,Desc,,,Esta clase generara ítems de comida y ropa básica además de combate dirigió rifle francotirador\n\nITEMS: Rifle de Tirador / Rifle de Caza / 100 balas 7.62mm / Mods miras x8 y x2 / Mod extensor de municion / Full set armadura de Hierro / Libros de Francotirador 1 y 3 / Kit de esquemas de rifles \n\n //-- Foto con sus items en Discord--//, Esta clase generara ítems de comida y ropa básica además de combate dirigió rifle francotirador\n\nITEMS: Rifle de Tirador / Rifle de Caza / 100 balas 7.62mm / Mods miras x8 y x2 / Mod extensor de municion / Full set armadura de Hierro / Libros de Francotirador 1 y 3 / Kit de esquemas de rifles\n\n //-- Foto con sus items en Discord--//
CDeDesc,items,Desc,,,Esta clase generara ítems de comida reducidas además de combate dirigió a Demoledores\n\nITEMS: M60! / 300 balas 7.62mm / 20 Granadas / Esquema de Armadura de acero / Esquema de granadas / Mazo de dos manos de Acero/ Full set de armadura de acero! \n\n//-- Foto con sus items en Discord--//, Esta clase generara ítems de comida reducidas además de combate dirigió a Demoledores\n\nITEMS: M60! / 300 balas 7.62mm / 20 Granadas / Esquema de Armadura de acero / Esquema de granadas / Mazo de dos manos de Acero/ Full set de armadura de acero! \n\n//-- Foto con sus items en Discord--//
CSuDesc,items,Desc,,,Esta clase generara ítems de comida aumentados además de combate en todas las áreas\n\nITEMS: Pistola / AK47 / Rifle de caza / Ballesta de hierro / 300 balas 9mm  / 150 balas 7.62mm / 300 Saetas de hierro/ Full set Ropa de Camuflaje / Kit de esquemas de armas Tier 2 \n\n//-- Foto con sus items en Discord--//,  Esta clase generara ítems de comida aumentados además de combate en todas las áreas\n\nITEMS: Pistola / AK47 / Rifle de caza / Ballesta de hierro / 300 balas 9mm  / 150 balas 7.62mm / 300 Saetas de hierro/ Full set Ropa de Camuflaje / Kit de esquemas de armas Tier 2 \n\n//-- Foto con sus items en Discord--//
CVeDesc,items,Desc,,,Esta clase renuncia a los ítems iniciales a cambio de una recompensa interesante\n\n //-- Foto con sus items en Discord--//,Esta clase renuncia a los ítems iniciales a cambio de una recompensa interesante\n\n //-- Foto con sus items en Discord--//
chaleJ,item,consumable,,,This is a Chale Juice! it make got fast use it! is eternal!,Este un gradioso juguito te dara velocidad usado es eterno!! CHALE!
AAP2,item,consumable,,,INFINITE USES!,USOS INFINITOS!

cl_ve2,item,consumable,,,Veteran Class,Clase Veterano
chalebuff,buffs,buffname,,,Chale,Chale
chalebuffdesc,buffs,buffdec,,,no pues chale...,no pues chale...
skillkeyquest,quests,buffdec,,,This Item will give you 20 extra skills points!\n\n\n\n\n\n\n\n           Puto el que lo lea xD,Este item te dara 20 puntos de skill adicionales!\n\n\n\n\n\n\n\n            Puto el que lo lea xD
Skill_point,item,book,,,+1 Skill Points,+1 Puntos de Habilidad
1skpnt,items,Desc,,,This Item will give you 1 extra skill point!\n\n\n\n\n\n\n\nPuto el que lo lea xD,Este item te dara 1 punto de skill adicional!\n\n\n\n\n\n\n\n             Puto el que lo lea xD
