Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
st4x42,blocks,Block,,,[Decorative] 4x4,[Decorativo] 4x4,[Decorativo] 4x4
stmoto2,blocks,Block,,,[Decorative] Motorcicly,[Decorativo] Moto,[Decorativo] Moto
stgyro2,blocks,Block,,,[Decorative] Gyro,[Decorativo] Gyrocopter,[Decorativo] Gyrocopter
cntModularClosetCloseddeco,blocks,Block,,,[Decorative] Clothes,[Decorativo] Ropas,[Decorativo] Ropas
decoVariant_blocks,blocks,Block,,,[Decorative] Special Paintable Blocks,[Decorativo] Bloques de Orilla Pintable,[Decorativo] Bloques de Orilla Pintable
sidedecoblock,blocks,Block,,,[Decorative] 4 sides block,[Decorativo] Bloque de 4 lados,[Decorativo] Bloque de 4 lados

dyestation,blocks,dyestation,,,Paint Mixer,Mezclador de pintura,Mezclador de pintura
modDyeBlack,item_modifiers,mod,,,Dye: Dark,Tinte: Oscuro,Tinte: Oscuro
modDyeBlue,item_modifiers,mod,,,Dye: Intence Blue,Tinte: Azul Intenso,Tinte: Azul Intenso 
modDyePurple,item_modifiers,mod,,,Dye: Violet,Tinte: Violeta,Tinte: Violeta
modDyeYellow,item_modifiers,mod,,,Dye: Intence Yellow,Tinte: Amarillo Intenso,Tinte: Amarillo Intenso
modDyeOrange,item_modifiers,mod,,,Dye: Clear Orange,Tinte: Naraja Claro,Tinte: Naraja Claro
modDyeBeige,item_modifiers,mod,,,Dye: Beige,Tinte: Beige,Tinte: Beige
modDyeTan,item_modifiers,mod,,,Dye: Tan,Tinte: Bronceada,Tinte: Bronceada
modDyeSilver,item_modifiers,mod,,,Dye: Silver,Tinte: Plateado,Tinte: Plateado
modDyeCharcoal,item_modifiers,mod,,,Dye: Charcoal,Tinte: Carbón,Tinte: Carbón
modDyeNavyBlue,item_modifiers,mod,,,Dye: Navy Blue,Tinte: Azul marino,Tinte: Azul marino
modDyeRoyalBlue,item_modifiers,mod,,,Dye: Royal Blue,Tinte: Azul Real,Tinte: Azul Real
modDyeAzure,item_modifiers,mod,,,Dye: Azure,Tinte: Azur,Tinte: Azur
modDyeAquamarine,item_modifiers,mod,,,Dye: Aquamarine,Tinte: Aguamarina,Tinte: Aguamarina
modDyeTeal,item_modifiers,mod,,,Dye: Teal,Tinte: Verde azulado,Tinte: Verde azulado
modDyeForestGreen,item_modifiers,mod,,,Dye: Forest Green,Tinte: Bosque verde,Tinte: Bosque verde
modDyeOlive,item_modifiers,mod,,,Dye: Olive,Tinte: Olive,Tinte: Olive
modDyeChartreuse,item_modifiers,mod,,,Dye: Chartreuse,Tinte: Chartreuse,Tinte: Chartreuse
modDyeLime,item_modifiers,mod,,,Dye: Lime,Tinte: Lima,Tinte: Lima
modDyeSalmon,item_modifiers,mod,,,Dye: Salmon,Tinte: Salmon,Tinte: Salmon
modDyeHotPink,item_modifiers,mod,,,Dye: Clear Pink,Tinte: Rosa Claro,Tinte: Rosa Claro
modDyeFuchsia,item_modifiers,mod,,,Dye: Fuchsia,Tinte: Fucsia,Tinte: Fucsia
modDyePuce,item_modifiers,mod,,,Dye: Puce,Tinte: Pardo rojizo,Tinte: Pardo rojizo,Tinte: Pardo rojizo
modDyeMauve,item_modifiers,mod,,,Dye: Mauve,Tinte: Malva,Tinte: Malva
modDyeLavender,item_modifiers,mod,,,Dye: Lavender,Tinte: Lavanda,Tinte: Lavanda
modDyePlum,item_modifiers,mod,,,Dye: Plum,Tinte: Ciruela,Tinte: Ciruela
modDyeIndigo,item_modifiers,mod,,,Dye: Indigo,Tinte: Índigo,Tinte: Índigo
modDyeMaroon,item_modifiers,mod,,,Dye: Maroon,Tinte: Granate,Tinte: Granate
modDyeCrimson,item_modifiers,mod,,,Dye: Crimson,Tinte: Carmesí,Tinte: Carmesí
modDyeMagenta,item_modifiers,mod,,,Dye: Magenta,Tinte: Magenta,Tinte: Magenta
modDyeSnow,item_modifiers,mod,,,Dye: Snow,Tinte: Nieve,Tinte: Nieve
modDyeLavenderBlush,item_modifiers,mod,,,Dye: Lavender Blush,Tinte: Rubor lavanda,Tinte: Rubor lavanda
modDyeDeepSkyBlue,item_modifiers,mod,,,Dye: Sky Blue,Tinte: Azul cielo,Tinte: Azul cielo
modDyeGreenYellow,item_modifiers,mod,,,Dye: Green yellow,Tinte: Verde amarillento,Tinte: Verde amarillento
modDyeMidnight,item_modifiers,mod,,,Dye: Midnight,Tinte: Medianoche,Tinte: Medianoche
modDyeKhaki,item_modifiers,mod,,,Dye: Khaki,Tinte: Caqui,Tinte: Caqui
modDyeCandyPink,item_modifiers,mod,,,Dye: Candy Pink,Tinte: Rosa Dulce,Tinte: Rosa Dulce
modDyeSilverD,item_modifiers,mod,,,Dye: Dark Silver,Tinte: Plateado oscuro,Tinte: Plateado oscuro

modDyeHotPink,item_modifiers,mod,,,Dye: Hot Pink,,
modDyeFireEngineRed,item_modifiers,mod,,,Dye: Fire Engine Red,,
modDyeOrange,item_modifiers,mod,,,Dye: Orange,,
modDyeGold,item_modifiers,mod,,,Dye: Gold,,
modDyeBronze,item_modifiers,mod,,,Dye: Bronze,,
modDyeLimeGreen,item_modifiers,mod,,,Dye: Lime Green,,
modDyeSpringGreen,item_modifiers,mod,,,Dye: Spring Green,,
modDyeCyan,item_modifiers,mod,,,Dye: Cyan,,
modDyeTurquoise,item_modifiers,mod,,,Dye: Turquoise,,
modDyeBrightSkyBlue,item_modifiers,mod,,,Dye: Bright Blue Sky,,
modDyeFuchsia,item_modifiers,mod,,,Dye: Fuchsia,,
modDyeRoyalPurple,item_modifiers,mod,,,Dye: Royal Purple,,
modDyeBubblegum,item_modifiers,mod,,,Dye: Bubblegum,,
modDyeLightCoral,item_modifiers,mod,,,Dye: Light Coral,,
modDyePaleOrange,item_modifiers,mod,,,Dye: Pale Orange,,
modDyeKhaki,item_modifiers,mod,,,Dye: Khaki,,
modDyeSienna,item_modifiers,mod,,,Dye: Sienna,,
modDyePaleGreen,item_modifiers,mod,,,Dye: Pale Green,,
modDyeBabyBlue,item_modifiers,mod,,,Dye: Baby Blue,,
modDyeSteelBlue,item_modifiers,mod,,,Dye: Steel Blue,,
modDyePlum,item_modifiers,mod,,,Dye: Plum,,
modDyeGray,item_modifiers,mod,,,Dye: Gray,,

modDyepaint,item_modifiers,mod,,,Invisible Ink,Tinta invisible,Tinta invisible
modDyeInvisible,item_modifiers,mod,,,[Mod] Invisible Fabric,[Mod] Tela Invisible,[Mod] Tela Invisible
InvDyeDesc,item_modifiers,mod,,,"A rare fabric created from special thread and ink with very interesting qualities.\nAdding this mod will make any cloth or armor dissapear, add it on the cosmetic slot","Una rara tela creada apartir de hilo y tinta especiales con unas muy interesantes cualidades\nAgregar este mod hace que cualquier ropa o armadura desapareca, equipala en el slot de cosmeticos","Una rara tela creada apartir de hilo y tinta especiales con unas muy interesantes cualidades\nAgregar este mod hace que cualquier ropa o armadura desapareca, equipala en el slot de cosmeticos"

UVI,items,material,,,Special Reinforced Thread,Hilo Reforzado Especial,Hilo Reforzado Especial

PLMFa,items,books,,,Fashion Master Cover page,Portada de Maestro de Moda,Portada de Maestro de Moda
PAMFa1,items,books,,,Fashion Master Pages First half,Paginas Maestro de Moda primera mitad,Paginas Maestro de Moda primera mitad
PAMFa2,items,books,,,Fashion Master Pages Second half,Paginas Maestro de Moda segunda mitad,Paginas Maestro de Moda segunda mitad
Maestro Fashionista,items,books,,,[MB] Fashion Master,[LM] Maestro de Moda,[LM] Maestro de Moda


modvisu,item_modifiers,mod,,,An special thread uses to craft the visual mods of the server!\n\nCrafthing this will give you 10 pieces at once,Una hilo especial usado para crear los items visuales del servidor!\n\nCraftear este item te dara 10 piesas del mismo,Una hilo especial usado para crear los items visuales del servidor!\n\nCraftear este item te dara 10 piesas del mismo
modInvDye,item_modifiers,mod,,,Special pain used to create a fabric that deceives the sight\n*This items is not a dye*,Pintura especial usada para crear una tela que engaña a la vista\n*Este item no es un tinte*,Pintura especial usada para crear una tela que engaña a la vista\n*Este item no es un tinte*

apparelOverallsMod,item_modifiers,mod,,,"[Mod]Overalls","[Mod] Overol","[Mod] Overol"
apparelDenimPantsMod,item_modifiers,mod,,,"[Mod]Denim Pants","[Mod]Pantalones de mezclilla","[Mod]Pantalones de mezclilla"
apparelGhillieSuitPantsMod,item_modifiers,mod,,,"[Mod]Ghillie Suit Pants","[Mod]Pantalones de traje de pescador","[Mod]Pantalones de traje de pescador"
apparelGhillieSuitJacketMod,item_modifiers,mod,,,"[Mod]Ghillie Suit Jacket","[Mod]Chaqueta de traje de pescador","[Mod]Chaqueta de traje de pescador"
apparelGhillieSuitHoodMod,item_modifiers,mod,,,"[Mod]Ghillie Suit Hood","[Mod]Capucha de traje de pescador","[Mod]Capucha de traje de pescador"
apparelSantaHatMod,item_modifiers,mod,,,"[Mod]Santa Hat","[Mod] Sombrero de Santa","[Mod] Sombrero de Santa"
apparelHazmatMaskMod,item_modifiers,mod,,,"[Mod]Hazmat Mask","[Mod]Máscara de material peligroso","[Mod]Máscara de material peligroso"
apparelShadesMod,item_modifiers,mod,,,"[Mod]Shades","[Mod]Gafas de sol","[Mod]Gafas de sol"
apparelHazmatJacketMod,item_modifiers,mod,,,"[Mod]Hazmat Jacket","[Mod]Chaqueta de material peligroso","[Mod]Chaqueta de material peligroso"
apparelHazmatGlovesMod,item_modifiers,mod,,,"[Mod]Hazmat Gloves","[Mod]Guantes de material peligroso","[Mod]Guantes de material peligroso"
apparelHazmatPants Mod,item_modifiers,mod,,,"[Mod]Hazmat Pants","[Mod]Pantalones de material peligroso","[Mod]Pantalones de material peligroso"
apparelHazmatBoots Mod,item_modifiers,mod,,,"[Mod]Hazmat Boots","[Mod]Botas de material peligroso","[Mod]Botas de material peligroso"
apparelAviatorGogglesMod,item_modifiers,mod,,,"[Mod]Lucky Goggles","[Mod]Gafas de la suerte","[Mod]Gafas de la suerte"
apparelSkiGogglesMod,item_modifiers,mod,,,"[Mod]Ski Goggles","[Mod]Gafas de esquí","[Mod]Gafas de esquí"
apparelNerdGlassesMod,item_modifiers,mod,,,"[Mod]Nerdy Glasses","[Mod]Gafas de nerd","[Mod]Gafas de nerd"
apparelNightvisionGogglesMod,item_modifiers,mod,,,"[Mod]Night Vision Goggles","[Mod]Gafas de visión nocturna","[Mod]Gafas de visión nocturna"
apparelCigarMod,item_modifiers,mod,,,"[Mod]Cigar","[Mod]Puro","[Mod]Puro"
apparelFacialPiercingsMod,item_modifiers,mod,,,"[Mod]Facial Piercings","[Mod]Piercings faciales","[Mod]Piercings faciales"
apparelBandanaMod,item_modifiers,mod,,,"[Mod]Bandana","[Mod]Bandana","[Mod]Bandana"
apparelWornBootsMod,item_modifiers,mod,,,"[Mod]Worn Boots","[Mod]Botas desgastadas","[Mod]Botas desgastadas"
apparelRunningShoesRegularMod,item_modifiers,mod,,,"[Mod]Running Shoes","[Mod]Calzado para correr","[Mod]Calzado para correr"
apparelCowboyBootsMod,item_modifiers,mod,,,"[Mod]Cowboy Boots","[Mod]Botas de vaquero","[Mod]Botas de vaquero"
apparelGothBootsMod,item_modifiers,mod,,,"[Mod]Gothic Boots","[Mod]Botas góticas","[Mod]Botas góticas"
apparelCoatLeatherPonchoMod,item_modifiers,mod,,,"[Mod]Leather Poncho","[Mod]Poncho de cuero","[Mod]Poncho de cuero"
apparelCoatLeatherDusterMod,item_modifiers,mod,,,"[Mod]Leather Duster","[Mod]Gabardina de cuero","[Mod]Gabardina de cuero"
apparelCoatPufferCoatMod,item_modifiers,mod,,,"[Mod]Puffer Coat","[Mod]Abrigo acolchado","[Mod]Abrigo acolchado"
apparelCoatJacketGenericMod,item_modifiers,mod,,,"[Mod]Jacket","[Mod]Chaqueta","[Mod]Chaqueta"
apparelSuitJacketMod,item_modifiers,mod,,,"[Mod]Suit Jacket","[Mod]Chaqueta de Traje","[Mod]Chaqueta de Traje"
apparelSuitDressShoesMod,item_modifiers,mod,,,"[Mod]Dress Shoes","[Mod]Zapatos formales","[Mod]Zapatos formales"
apparelClothHelmetMod,item_modifiers,mod,,,"[Mod]Padded Hood","[Mod]Tela con parches","[Mod]Tela con parches"
apparelClothJacketMod,item_modifiers,mod,,,"[Mod]Padded Chest Armor","[Mod]Coraza con parches","[Mod]Coraza con parches"
apparelClothGlovesMod,item_modifiers,mod,,,"[Mod]Padded Gloves","[Mod]Guantes con parches","[Mod]Guantes con parches"
apparelClothPantsMod,item_modifiers,mod,,,"[Mod]Padded Leg Armor","[Mod]Armadura de pierna con parches","[Mod]Armadura de pierna con parches"
apparelClothBootsMod,item_modifiers,mod,,,"[Mod]Padded Boots","[Mod]Botas con parches","[Mod]Botas con parches"
apparelLeatherHelmetMod,item_modifiers,mod,,,"[Mod]Leather Hood","[Mod]Capucha de cuero","[Mod]Capucha de cuero"
apparelLeatherChestMod,item_modifiers,mod,,,"[Mod]Leather Chest Armor","[Mod]Coraza de cuero","[Mod]Coraza de cuero"
apparelLeatherGlovesMod,item_modifiers,mod,,,"[Mod]Leather Gloves","[Mod]Guantes de cuero","[Mod]Guantes de cuero"
apparelLeatherPantsMod,item_modifiers,mod,,,"[Mod]Leather Leg Armor","[Mod]Armadura de pierna de cuero","[Mod]Armadura de pierna de cuero"
apparelLeatherBootsMod,item_modifiers,mod,,,"[Mod]Leather Boots","[Mod]Botas de cuero ","[Mod]Botas de cuero "
apparelMilitaryHelmetMod,item_modifiers,mod,,,"[Mod]Military Helmet","[Mod]Casco militar","[Mod]Casco militar"
apparelMilitaryVestMod,item_modifiers,mod,,,"[Mod]Military Vest","[Mod]Chaleco militar","[Mod]Chaleco militar"
apparelMilitaryGlovesMod,item_modifiers,mod,,,"[Mod]Military Gloves","[Mod]Guantes militares","[Mod]Guantes militares"
apparelMilitaryLegsMod,item_modifiers,mod,,,"[Mod]Military Leg Armor","[Mod]Armadura para pierna militar","[Mod]Armadura para pierna militar"
apparelMilitaryBootsMod,item_modifiers,mod,,,"[Mod]Military Boots","[Mod]Botas militares","[Mod]Botas militares"
apparelScrapHelmetMod,item_modifiers,mod,,,"[Mod]Scrap Helmet","[Mod]Casco de chatarra","[Mod]Casco de chatarra"
apparelScrapChestMod,item_modifiers,mod,,,"[Mod]Scrap Chest Armor","[Mod]Coraza de chatarra","[Mod]Coraza de chatarra"
apparelScrapGlovesMod,item_modifiers,mod,,,"[Mod]Scrap Gloves","[Mod]Guantes de chatarra","[Mod]Guantes de chatarra"
apparelScrapLegsMod,item_modifiers,mod,,,"[Mod]Scrap Leg Armor","[Mod]Armadura de pierna de chatarra","[Mod]Armadura de pierna de chatarra"
apparelScrapBootsMod,item_modifiers,mod,,,"[Mod]Scrap Boots","[Mod]Botas hechas de chatarra","[Mod]Botas hechas de chatarra"
apparelIronHelmetMod,item_modifiers,mod,,,"[Mod]Iron Helmet","[Mod]Casco de hierro","[Mod]Casco de hierro"
apparelIronChestMod,item_modifiers,mod,,,"[Mod]Iron Chest Armor","[Mod]Coraza de hierro","[Mod]Coraza de hierro"
apparelIronGlovesMod,item_modifiers,mod,,,"[Mod]Iron Gloves","[Mod]Guantes de hierro","[Mod]Guantes de hierro"
apparelIronLegsMod,item_modifiers,mod,,,"[Mod]Iron Leg Armor","[Mod]Armadura de pierna de hierro","[Mod]Armadura de pierna de hierro"
apparelIronBootsMod,item_modifiers,mod,,,"[Mod]Iron Boots","[Mod]Botas de hierro","[Mod]Botas de hierro"
apparelSteelHelmetMod,item_modifiers,mod,,,"[Mod]Steel Helmet","[Mod]Casco de acero","[Mod]Casco de acero"
apparelSteelChestMod,item_modifiers,mod,,,"[Mod]Steel Chest Armor","[Mod]Coraza de acero","[Mod]Coraza de acero"
apparelSteelGlovesMod,item_modifiers,mod,,,"[Mod]Steel Gloves","[Mod]Guantes de acero","[Mod]Guantes de acero"
apparelSteelLegsMod,item_modifiers,mod,,,"[Mod]Steel Leg Armor","[Mod]Armadura de pierna de acero","[Mod]Armadura de pierna de acero"
apparelSteelBootsMod,item_modifiers,mod,,,"[Mod]Steel Boots","[Mod]Botas de acero","[Mod]Botas de acero"
apparelMiningHelmetMod,item_modifiers,mod,,,"[Mod]Mining Helmet","[Mod]Casco de minero","[Mod]Casco de minero"
apparelSwatHelmetMod,item_modifiers,mod,,,"[Mod]SWAT Helmet","[Mod]Casco de SWAT","[Mod]Casco de SWAT"
apparelFootballHelmetMod,item_modifiers,mod,,,"[Mod]Football Helmet","[Mod]Casco de fútbol americano","[Mod]Casco de fútbol americano"
apparelSuitPantsMod,item_modifiers,mod,,,"[Mod]Suit Pants","[Mod]Pantalones de traje","[Mod]Pantalones de traje"
