Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
Escopeta Legendaria,items,Gun,,,[Legend] Pump Shotgun,[Legendario] Escopeta de Pompeo
Francotirador Legendario,items,Gun,,,[Legend] Marksman Rifle,[Legendario] Rifle de Tirador
AR Tactico Legendario,items,Gun,,,[Legend] Tactic AR,[Legendario] AR Tactico
LCBT1,items,Gun,,,[Legend] Iron Crossbow,[Legendario] Ballesta de Hierro
LCBT2,items,Gun,,,[Legend] Compound Crossbow,[Legendario] Ballesta Compuesta
LSAH,items,Gun,,,[Unique] Swat Helmet,[Unique] Casco Swat
LSAA,items,Gun,,,[Unique] Swat Armor,[Unique] Armadura Swat
LSAG,items,Gun,,,[Unique] Swat Gloves,[Unique] Guantes Swat
LSAL,items,Gun,,,[Unique] Swat Leg Armor,[Unique] Armadura de piernas Swat
LSAB,items,Gun,,,[Unique] Swat Boots,[Unique] Botas Swat
LMAH,items,Gun,,,[Unique] Military Helmet,[Unique] Casco Militar
LMAA,items,Gun,,,[Unique] Military Vest,[Unique] Armadura Militar
LMAG,items,Gun,,,[Unique] Military Gloves,[Unique] Guantes Militares
LMAL,items,Gun,,,[Unique] Military Leg Armor,[Unique] Armadura de piernas Militar
LMAB,items,Gun,,,[Unique] Military Boots,[Unique] Botas Militares
drinkuwu,items,Gun,,,uwu juice,Juguito de uwu
drinkowo,items,Gun,,,owo juice,Juguito de owo
drinkuwudesc,items,Gun,,,You feel uwu\n\nThis drink will restore all Hit Points and Stamine and will fill your food and water stats\n\nThis drink will cure any debuff and will protect you from them for a while,Te sientes uwu\n\nEsta bebida llenara tu hp y estamina ademas de tu comida y agua\n\nEsta bebida curara cualquier debuff que tengas y te protegera de ellos por un tiempo 
drinkowodesc,items,Gun,,,Use it to balance player for events,Usalo para labancear a los players en eventos
[Mitico] Delta01,items,Gun,,,[Mytic] Delta01,[Mitico] Delta01
[Mitico] Peacemaker,items,Gun,,,[Mytic] Peacemaker,[Mitico] Peacemaker
[Mitico] Destroyer,items,Gun,,,[Mytic] Doombringer,[Mitico] Doombringer
[Mitico] One Shot,items,Gun,,,[Mytic] One Shot,[Mitico] One Shot
[Mitico] Dominator,items,Gun,,,[Mytic] Dominator,[Mitico] Dominator
[Mitico]_LCB,items,Gun,,,[Mytic] Arbalest,[Mitico] Arbalest
ResourceForgedPlatinum,items,consumable,,,Platinum Ingot,Lingote de Platino
platinumdesc,items,desc,,,A special ingot that was crafted after melting rare ores and steel and forging it to the maxim degree\n\nLegends say that this material is used to make the strongest elements in history,Un lingote especial que fue elaborado después de fundir minerales raros con acero y forjarlo lo máximo posible\n\nLas leyendas dicen que este material se usa para fabricar los elementos más fuertes de la historia
practoniumdesc,items,desc,,,"A mysterious material that very powerful zombies tend to carry with them \nNo one knows for sure where it came from, but it has unique properties in the world, maybe they can be used to create items with that property","Un misterioso material que zombies muy poderos tienden a llevarlo con ellos\nNadie sabe con seguridad de donde salio, pero pose propiedades unicas en el mundo, tal vez pueden usarse para crear items con esa propiedad "
agua_divina,items,consumable,,,Divine Water,Agua Divina
SPOmotoPlac,items,vehicle,,,[Legend] S.O. Motorcycle,[Legendaria] S.O. Motocicleta
SPO4x4PlacDesc,items,vehicle,,,Good old betsy\nNothing else to say lets roll!,La buena y vieja betsy\nNada mas que desir a rodar!!
SPO4x4Plac,items,vehicle,,,[Mytic] Special Operations 4x4,[Mitico] 4x4 de Operaciones Especiales
SPO4x4PlacDesc,items,vehicle,,,Special vehicle for the special operations,4x4 de Operaciones Especiales,4x4 Para las operacionmes especiales mas complicadas!
betsyPlac,items,vehicle,,,[Mytic] Betsy MK1,[Mitico] Betsy MK1
betsyPlac2,items,vehicle,,,[Mytic] Betsy MK2,[Mitico] Betsy MK2
betsyPlacDesc,items,vehicle,,,Good old betsy\nNothing else to say lets roll... wait is that a rocket???\n\n\nBetsyMK1 Have Less control but more Speed!,La buena y vieja betsy\nNada mas que desir a rodar!!... espera es eso un cohete???\n\n\nBetsyMK1 Tiene Menos control pero mas velocidad
betsyPlacDesc2,items,vehicle,,,Good old betsy\nNothing else to say lets roll... wait is that a rocket???\n\n\nBetsyMK2 Have Less Speed but more Control!,La buena y vieja betsy\nNada mas que desir a rodar!!... espera es eso un cohete???\n\n\nBetsyMK2 Tiene Menos velocidad pero mas control
resourceGunPowderBundle10k,items,bundle,,,Gunpowder (Stack of 10000),Polvora (Stack de 10000)
resourceGunPowderBundle10kDesc,items,desc,,,Better gunpowder stack learn it at lvl 5 Demolition Expert,Un stack de polvora mas eficiente aprende a crearlo con Experto en Demoliciones lvl 5
EAL,items,Schematic,,,Legendary Tactic AR Schematic,Esquema Legendario de AR Tactico
EALDesc,items,Schematic,,,Schematic for the AR Legandary Rifle,Esquema para el AR Tactico Legendario
EEL,items,Schematic,,,Legendary Pump Shotgun Schematic,Esquema Legendario de Escopeta de Ponpeo
EELDesc,items,Schematic,,,Schematic for the Legandary Pump Shotgun,Esquema para la Escopeta de Popeo Legendaria
EFL,items,Schematic,,,Legendary Marksman Rifle Schematic,Esquema Legendario de Rifle de Tirador
EFLDesc,items,Schematic,,,Schematic for the Legandary Marksman Rifle,Esquema para el Rifle de Tirador Legendario
EPL,items,Schematic,,,Legendary Magnum 44 Schematic,Esquema Legendario de Magnum 44 
EPLDesc,items,Schematic,,,Schematic for the Legandary Magnum 44,Esquema para la Magnum 44 Legendaria
DbladeTrap,blocks,trap,,,Diamon Blade Trap,Trampa de hoja de diamante
PTrader1,blocks,trap,,,[T] Joel
PTrader2,blocks,trap,,,[T] Jen
PTrader3,blocks,trap,,,[T] Bob
PTrader4,blocks,trap,,,[T] Hugh
PTrader5,blocks,trap,,,[T] Rekt
PTraDesc,blocks,trap,,,Premium Personal Trader,Un Trader personal Premium
PTraderspname,blocks,unlock,,,Special Perk,Perk Especial
proautoTurret,blocks,turrets,,,Advanced SMG Auto Turret,Torreta automatica de SMG avanzada
proshotgunTurret,blocks,turrets,,,Advanced Shotgun Auto Turret,Torreta automatica de escopeta avanzada
proturretsdesc,blocks,desc,,,"Advanced version of the turrets it have damage/range doubled, power required reduced and cant be destroyed with projectiles,","Version avanzada de las torretas, tiene su daño/rango duplicados, su poder nesesario reducido y no se pueden destruir con proyectiles"
bafcom,progression,perk  book,,,Art of Mining - Completion,El arte de la minería - Finalizado
special,progression,Attribute,,,Special,Especial
spname,progression,Attribute,,,Attribute: Special,Atributo: Especial
SpecialDesc,progression,Attribute,,,"Special Perks to Increase Late game, and uncloks special items creation.","Perk Especial para incrementar late game y desbloquear la creacion de items especiales"
L_M,progression,Attribute,,,Master Books,Libros Maestros
A_S,progression,Attribute,,,Special Weapons,Armas Especiales
H_L,progression,Attribute,,,Legendary Tools,Herramientas Legendarias
req1,progression,Attribute,,,Lvl 50/1 Point,Lvl 50/1 Punto
req2,progression,Attribute,,,Lvl 100/1 Point,Lvl 100/1 Punto
req2.1,progression,Attribute,,,Lvl 150/1 Point,Lvl 150/1 Punto
req3,progression,Attribute,,,Lvl 200/2 Point,Lvl 200/2 Punto
req4,progression,Attribute,,,Lvl 330/3 Point,Lvl 330/3 Punto
req5,progression,Attribute,,,Lvl 350/3 Point,Lvl 350/3 Punto
req6,progression,Attribute,,,Lvl 250/3 Point,Lvl 250/2 Punto
PLMR,items,book,,,Master Sniper Cover page,Portada de Maestro Francotirador
PAMR1,items,book,,,Master Sniper Pages First half,Paginas Maestro Francotirador primera mitad
PAMR2,items,book,,,Master Sniper Pages Second half,Paginas Maestro Francotirador secunda mitad

PLMR,items,book,,,Master Sniper Cover page,Portada de Maestro Francotirador
PAMR1,items,book,,,Master Sniper Pages First half,Paginas Maestro Francotirador primera mitad
PAMR2,items,book,,,Master Sniper Pages Second half,Paginas Maestro Francotirador secunda mitad

PLME,items,book,,,Shotgun Master Cover page,Portada de Maestro de Escopetas
PAME1,items,book,,,Shotgun Master Pages First half,Paginas Maestro de Escopetas primera mitad
PAME2,items,book,,,Shotgun Master Pages Second half,Paginas Maestro de Escopetas secunda mitad

PLMT,items,book,,,Automatic Weapons Master Cover page,Portada de Maestro Tirador
PAMT1,items,book,,,Automatic Weapons Master Pages First half,Paginas Maestro Tirador primera mitad
PAMT2,items,book,,,Automatic Weapons Master Pages Second half,Paginas Maestro Tirador secunda mitad

PLMP,items,book,,,Pistol Master Cover page,Portada de Maestro de Pistolas
PAMP1,items,book,,,Pistol Master Pages First half,Paginas Maestro de Pistolas primera mitad
PAMP2,items,book,,,Pistol Master Pages Second half,Paginas Maestro de Pistolas secunda mitad

PLMH,items,book,,,Blacksmith Master Cover page,Portada de Maestro Herrero
PAMH1,items,book,,,Blacksmith Master Pages First half,Paginas Maestro Herrero primera mitad
PAMH2,items,book,,,Blacksmith Master Pages Second half,Paginas Maestro Herrero secunda mitad

PLMTec,items,book,,,Tech Master Cover page,Portada Maestro Tecnologico
PAMTec1,items,book,,,Tech Master Pages First half,Paginas Maestro Tecnologico primera mitad
PAMTec2,items,book,,,Tech Master Pages Second half,Paginas Maestro Tecnologico secunda mitad

PLMRa,items,book,,,Ranger Master Cover page,Portada Maestro Ranger
PAMRa1,items,book,,,Ranger Master Pages First half,Paginas Maestro Ranger primera mitad
PAMRa2,items,book,,,Ranger Master Pages Second half,Paginas Maestro Ranger secunda mitad

PLMAr,items,book,,,Demolition Master Cover page,Portada Maestro Demoledor
PAMAr1,items,book,,,Demolition Master Pages First half,Paginas Maestro Demoledor primera mitad
PAMAr2,items,book,,,Demolition Master Pages Second half,Paginas Maestro Demoledor secunda mitad

PLMRe,items,book,,,Revolver Master Cover page,Portada Maestro del Revolvers
PAMRe1,items,book,,,Revolver Master Pages First half,Paginas Maestro del Revolvers primera mitad
PAMRe2,items,book,,,Revolver Master Pages Second half,Paginas Maestro del Revolvers secunda mitad

PLMLoot,items,books,,,Looter Master Cover page,Portada de Maestro del Saqueo
PAMLoot1,items,books,,,Looter Master Pages First half,Paginas Maestro del Saqueo primera mitad
PAMLoot2,items,books,,,Looter Master Pages Second half,Paginas Maestro del Saqueo segunda mitad

PLMTrea,items,books,,,Adventurer Master Cover page,Portada de Maestro Aventurero
PAMTrea1,items,books,,,Adventurer Master Pages First half,Paginas Maestro Aventurero primera mitad
PAMTrea2,items,books,,,Adventurer Master Pages Second half,Paginas Maestro Aventurero segunda mitad

bookMPoBat,items,books,,,Mallet Master Cover page,Portada de Maestro del Mazo
bookMPa1Bat,items,books,,,Mallet Master Pages First half,Paginas Maestro del Mazo primera mitad
bookMPa2Bat,items,books,,,Mallet Master Pages Second half,Paginas Maestro del Mazo segunda mitad

bookMPoBar,items,books,,,Brawler Master Cover page,Portada de Maestro Peleador
bookMPa1Bar,items,books,,,Brawler Master Pages First half,Paginas Maestro Peleador primera mitad
bookMPa2Bar,items,books,,,Brawler Master Pages Second half,Paginas Maestro Peleador segunda mitad

bookMPoFire,items,books,,,Fireman Master Cover page,Portada de Maestro Bombero
bookMPa1Fire,items,books,,,Fireman Master Pages First half,Paginas Maestro Bombero primera mitad
bookMPa2Fire,items,books,,,Fireman Master Pages Second half,Paginas Maestro Bombero segunda mitad

bookMPoGHeir,items,books,,,Infiltrator Master Cover page,Portada de Maestro Infiltrador
bookMPa1GHeir,items,books,,,Infiltrator Master Pages First half,Paginas Maestro Infiltrador primera mitad
bookMPa2GHeir,items,books,,,Infiltrator Master Pages Second half,Paginas Maestro Infiltrador segunda mitad

bookMPoHunt,items,books,,,Hunter Master Cover page ,Portada de Maestro Cazador
bookMPa1Hunt,items,books,,,Hunter Master Pages First half,Paginas Maestro Cazador primera mitad
bookMPa2Hunt,items,books,,,Hunter Master Pages Second half,Paginas Maestro Cazador segunda mitad

bookMPoStalk,items,books,,,Shadow Master Cover page,Portada de Maestro de las Sombras
bookMPa1Stalk,items,books,,,Shadow Master Pages First half,Paginas Maestro de las Sombras primera mitad
bookMPa2Stalk,items,books,,,Shadow Master Pages Second half,Paginas Maestro de las Sombras segunda mitad

bookMPoSpear,items,books,,,Spear Master Cover page,Portada de Maestro de la Lanza
bookMPa1Spear,items,books,,,Spear Master Pages First half,Paginas Maestro de la Lanza primera mitad
bookMPa2Spear,items,books,,,Spear Master Pages Second half,Paginas Maestro de la Lanza segunda mitad

Maestro de Pistolas,items,book,,,[MB] Pistol Master,[LM] Maestro Pistolero
Maestro de Escopetas,items,book,,,[MB] Shotgun Master,[LM] Maestro Escopetero
Maestro Tirador,items,book,,,[MB] Automatic Weapons Master,[LM] Maestro Tirador
Maestro del Rifle,items,book,,,[MB] Master Sniper,[LM] Maestro Francotirador
Maestro de la Tecnologia,items,book,,,[MB] Tech Master,[LM] Maestro Tecnologico
Maestro de Herramientas,items,book,,,[MB] Blacksmith Master,[LM] Maestro Herrero
Maestro Ranger,items,book,,,[MB] Ranger Master,[LM] Maestro Ranger
Maestro de Armaduras,items,book,,,[MB] Demolition Master,[LM] Maestro Demoledor
Maestro de Revolver,items,book,,,[MB] Revolver Master,[LM] Maestro del Revolver
Maestro del Saqueo,items,book,,,[MB] Looter Master,[LM] Maestro del Saqueo
Maestro de Tesoros,items,book,,,[MB] Adventurer Master,[LM] Maestro Aventurero
bookMaestroBat,items,books,,,[MB] Mallet Master,[LM] Maestro del Mazo
bookMaestroBar,items,books,,,[MB] Brawler Master,[LM] Maestro Peleador
bookMaestroFire,items,books,,,[MB] Fireman Master,[LM] Maestro Bombero
bookMaestroGHeir,items,book,,,[MB] Infiltrator Master,[LM] Maestro Infiltrador
bookMaestroHunt,items,book,,,[MB] Hunter Master,[LM] Maestro Cazador
bookMaestroStalk,items,book,,,[MB] Shadow Master,[LM] Maestro de las Sombras
bookMaestroSpear,items,book,,,[MB] Spear Master,[LM] Maestro de la Lanza

LMASP,items,mod,,,Military armor plate,Placa de armadura militar
LSASP,items,mod,,,Swat armor plate,Placa de armadura de swat
LMASP,items,mod,,,Special Reinforce Part,Parte Reforzada especial
casinoCoinD,items,coin,,,Platinum Coin,Platinum Coin
[Mitico] Martillo Divino,items,tool,,,[Mityc] Divine Hammer,[Mitico] Martillo Divino
[Legendario] Llave Inglesa,items,tool,,,[Legend] Wrench,[Legendario] Llave Inglesa
[Legendario] Destornillador de Impacto,items,tool,,,[Legend] Impact Driver,[Legendario] Destornillador de Impacto
[Legendario] Pico de acero,items,tool,,,[Legend] Steel Pickaxe,[Legendario] Pico de acero
[Legendario] Hacha de Acero,items,tool,,,[Legend] Steel Axe,[Legendario] Hacha de Acero
[Legendario] Nailgun,items,tool,,,[Legend] Nailgun,[Legendario] Nailgun
[Legendario] Lentes Definitivos,items,tool,,,[Legend] Ultimate Glasses,[Legend] Lentes Definitivos
[Legendario] Lentes Definitivos2,items,tool,,,[Legend] Ultimate Glasses NV,[Legend] Lentes Definitivos VN
[Legendario] Barrena,items,tool,,,[Legend] Auger,[Legendario] Barrena
[Legendario] Motosierra,items,tool,,,[Legend] Chainsaw,[Legendario] Motosierra
Mazo_de_Thor,items,weapon,,,[Mytic] Thor Hammer 300 uses,[Mitico] Martillo de Thor 300 usos
MDTI,items,weapon,,,"This is an imitation of the mytic Thor hammer, can only cointain his mighty power 200 times","Esta es una imitacion del poderoso martillo de thor, solo puede contener su poder durante 200 usos"
resourceCoalBundle10k,items,Item,,,Stack of Coal (10000),Pila de carbón (10000)
resourceGunPowderBundle10k,items,Item,,,Stack of Gun Powder (10000),Pila de Polvora (10000)
resourceClayLumpBundle15k,items,Item,,,Stack of Clay (15000),Pila de Arcilla (15000)
resourceRockSmallBundle10k,items,Item,,,Stack of Rock (10000),Pila de Roca (10000)
resourceWoodBundle10k,items,Item,,,Stack of Wood (10000),Pila de Madera (10000)
resourceScrapIronBundle10k,items,Item,,,Stack of Iron (10000),Pila de Hierro (10000)
resourcePotassiumNitratePowderBundle10k,items,Item,,,Stack of Nitrate Powder (10000),Pila de pólvora de nitrato  (10000)
resourceLeadBundle10k,items,Item,,,Stack of Lead (10000),Pila de Plomo (10000)
resourceOilShaleBundle10k,items,Item,,,Stack of Oil Shale (10000),Pila de Esquisto Bituminoso (10000)
bammoBundle44MagnumBulletAP,items,Ammo,,,Box of AP .44 Magnum Ammo (1000),Caja de munición AP .44 Magnum (1000)
bammoBundle44MagnumBulletBall,items,Ammo,,,Box of 44 Magnum Ammo (1000),Caja de munición 44 Magnum (1000)
bammoBundle44MagnumBulletHP,items,Ammo,,,Box of HP .44 Magnum Ammo (1000),Caja de munición HP .44 Magnum (1000)
bammoBundle762mmBulletAP,items,Ammo,,,Box of AP 7.62mm Ammo (1000),Caja de munición AP 7.62mm (1000)
bammoBundle762mmBulletBall,items,Ammo,,,Box of 7.62mm Ammo (1000),Caja de munición 7.62mm Ammo (1000)
bammoBundle762mmBulletHP,items,Ammo,,,Box of HP 7.62mm Ammo (1000),Caja de munición HP 7.62mm (1000)
bammoBundle9mmBulletAP,items,Ammo,,,Box of AP 9mm Ammo (1000),Caja de munición AP 9mm (1000)
bammoBundle9mmBulletBall,items,Ammo,,,Box of 9mm Ammo (1000),Caja de munición 9mm Ammo (1000)
bammoBundle9mmBulletHP,items,Ammo,,,Box of HP 9mm Ammo (1000),Caja de munición  (1000)
bammoBundleShotgunBreachingSlug,items,Ammo,,,Box of Shotgun Breaching Slugs Ammo (1000),Caja de munición Shotgun Breaching Slugs (1000)
bammoBundleShotgunShell,items,Ammo,,,Box of Shotgun Shells Ammo (1000),Caja de munición Shotgun Shells (1000)
bammoBundleShotgunSlug,items,Ammo,,,Box of Shotgun AP Slugs Ammo (1000),Caja de munición Shotgun AP Slugs (1000)
proelectricDesc,items,desc,,,Advances electric component,Componente electrico avanzado
ProSolarDesc,items,desc,,,Advances solar component,Componente solar avanzado
DbladeTrapDesc,items,desc,,,"Advanced blade tramp, have more durability, damage and can't be destroyed with projectiles,"Trampa de hoja avanzada, tiene su durabilidad aumenta, su daño y no puede ser destruida con proyectiles"
profencesDesc,items,desc,,,"Advanced electrical fences, have more durability, dont degrade with the use and can't be destroyed with projectiles,"Trampa de hoja avanzada, tiene su durabilidad aumenta, no se deagradan con el uso y no puede ser destruida con proyectiles"
doorTrimHalfm2,blocks,Block,,,Wood Door Trim .5m,Wood Door Trim .5m
doorTrim1m2,blocks,Block,,,Wood Door Trim 1m,Wood door Trim 1m
pouredConcretedoorTrim1m,blocks,Block,,,Wet Concrete Door Trim 1m,Wet Concrete door Trim 1m
pouredConcretedoorTrimHalfm,blocks,Block,,,Wet Concrete Door Trim .5m,Wet Concrete Wood Door Trim .5m
conc,blocks,Block,,,Wet Concrete Plate Corner,Wet Concrete Plate Corner
hpcc,blocks,Block,,,Wet Concrete Half Plate Corner,Wet Concrete Half Plate Corner
hconc,blocks,Block,,,Wet Concrete Half Plate,Wet Concrete Half Plate
pouredConcreteconcretePlatePole,blocks,Block,,,Wet Concrete Plate Pole,Wet Concrete Plate Pole
pouredConcretePlateCorner,blocks,Block,,,Wet Concrete Corner Round Plate,Wet Concrete Corner Round Plate
pouredConcreteTubeCenter,blocks,Block,,,Wet Concrete ,
pouredConcreteTubeCenter,blocks,Block,,,Wet Concrete Tube Center,Wet Concrete Tube Center
pouredConcreteTubeCorner,blocks,Block,,,Wet Concrete Tube Corner,Wet Concrete Tube Corner
pouredConcreteTunnelCenter,blocks,Block,,,Wet Concrete Tunnel Center,Wet Concrete Tunnel Center
pouredConcreteTunnelCorner,blocks,Block,,,Wet Concrete Tunnel Corner,Wet Concrete Tunnel Corner
pouredConcretePoleCornerRound,blocks,Block,,,Wet Concrete Pole Corner Round,Wet Concrete Pole Corner Round
DF,ui_display,stat,,,Divine Streng,Fuerza Divina
DV,ui_display,stat,,,Divine Speed,Velocidad Divina
DP,ui_display,stat,,,Divine Protection,Proteccion Divina
DivDesc,ui_display,,,,Atributes +2 - Damage x4 - Defence 50%!,Atributos +2 - Daños x4 - Defensa 50%!
DivDesc2,ui_display,stat,,,Stamine Regen 60% - Speed 50% - Bartering +30%,Regeneracion de Estamina 60% - Velocidad 50% - Intercambio +30%
DivDesc3,ui_display,stat,,,Elemental Protection - Stamine Reduction - Carrying Capacity - XP +40%!! ,Proteccion Elemental - Reduccion de Estamina - Aumento de Capacidad - XP +40%!! 
glassBulletproofDplate,blocks,block,,,[ffffff]Bulletproof Glass:[DECEA3] Plate corner,[ffffff]Vidrio a Prueba de Balas:[DECEA3] Doble Plate
glassBulletproofInvplated,blocks,block,,,[ffffff]Bulletproof Glass:[DECEA3] Clean sheet,Placa transparente lisa de vidrio a prueba de balas
glassBulletproofInvplate,blocks,block,,,[ffffff]Bulletproof Glass:[DECEA3] Clean plate,Vidrio a Prueba de Balas:[DECEA3] Placa Transparente
glassBulletprooroundplate,blocks,block,,,[ffffff]Bulletproof Glass:[DECEA3] Clean corner round plate,Vidrio a Prueba de Balas:[DECEA3] Placa transparente punta redonda
pouredConcretePlateCurved,blocks,block,,,Wet Concrete Curved Plate,Wet Concrete Curved Plate
glassBulletproofInvblock,blocks,block,,,[ffffff]Bulletproof Glass:[DECEA3] Clean cube,Vidrio a Prueba de Balas:[DECEA3] Cubo transparente
resourceCrushedSandBundle10k,items,bundle,,,Crushed Sand (Stack of 10000),Arena Fina (Stack de 10000)
[Mitico]_Martillo_Divino_100 Usos,item,tool,,,[Mytic] Divine Hammer 100 Uses,[Mitico] Martillo Divino 100 Usos
MD100Desc,items,desc,,,An imitation of the Mytic Divine hammer\n\nIt contains his inmense power but break after only 100 uses\n\n**THIS ITEM BREAK AFTER 100 USES**,Una imitacion del mitico martillo divino\n\nContiene todo su poder pero solo lo soporta por 100 usos\n\n**ESTE ITEM SE ROMPE DE DESPUES DE 100 USOS**
MDDesc,items,desc,,,"The mytic divine hammer, no block can stop his march!\n\nIt all mighty hammer gets 50% extra resourses!! and repair at light speed","El todo poderoso martillo divino!, Ningun bloque soporta su poder\n\nEste poderoso martillo obtiene 50% extra de todos los recursos!! y rapara a velocidad super rapida"
AAP1,ui_display,stat,,,"Perc,Fort,Agi,Int","Perc,Fort,Agi,Int"
LDL,ui_display,stat,,,Night Vision,Vision Nocturna
[Legendario] Destornillador de Impacto,item,tool,,,[Legend] Impact Driver,[Legendario] Desatornillador de Impacto
SP1desc,progression,Attribute,,,Good Luck Out There,Buena suerte ahi afuera
SP1longdesc,progression,Attribute,,,"Unlock the Platinum Ingot, Legendary Workbench, Decorative Maker and Divine Water","Desbloquea el Lingote de Platino, la Mesa de trabajo legendaria, el creador de decorativos y la Agua Divina"
SP2desc,progression,Attribute,,,First Steps,Primeros pasos
SP2longdesc,progression,Attribute,,,Requires lvl 50!\n\n +5Max HP/ST,Requiere lvl 50!\n\n+5 Max HP/ST
SP3desc,progression,Attribute,,,Lost Knowledge,Conocimiento Perdido
SP3longdesc,progression,Attribute,,,Requires lvl 100\n\nUnlocks the creation of legendary covers and tools\n +10 Max HP/ST,Requiere lvl 100 \n\nDesbloequea la creacion de las herramientas y portadas legendarias\n+10 Max HP/ST
SP4desc,progression,Attribute,,,A ood partner,Una buena compañera
SP4longdesc,progression,Attribute,,,\n\nUnlock Betsy and Ultimate Glasses!\n+15 Max HP/ST,\n\nDesbloequea a Betsy y los Lentes Definitivos!\n+15 Max HP/ST
SP5desc,progression,Attribute,,,Legendary,Legendario
SP5longdesc,progression,Attribute,,,Requires lvl 150\n \nUnlocks Legendary Tier 1 weapons\n +20 Max HP/ST,Requiere lvl 150\n\nDesbloequea las armas Legendaria Tier 1\n+20 Max HP/ST
SP6desc,progression,Attribute,,,Beyond what is already known,Mas haya de lo ya conocido
SP6longdesc,progression,Attribute,,,Requires lvl 200\n \nUnlocks the creation of the legendary schematics Tier 2\n+25 Max HP / ST,Requiere lvl 200\n\nDesbloquea la creacion de los esquemas legendarios Tier 2\n+25 Max HP/ST
SP7desc,progression,Attribute,,,Above Legendary,Por encima de lo Legendario
SP7longdesc,progression,Attribute,,,Requires lvl 250\n\nUnlocks Legendary series Tier 2\nUnlocks UNIQUE Armors\n+30 Max HP/ST,Requiere lvl 250 \n\nDesbloequea Serie Legendaria Tier 2\nDesbloque las Armaduras UNIQUE\n+30 Max HP/ST
SP8desc,progression,Attribute,,,For future generations,Para futuras generaciones
SP8longdesc,progression,Attribute,,,\nUnlock the the Special Operation Gyrocopter\nUnlock the creation of Master Books\n +35 Max HP/ST,\nDesbloquea el Gyrocoptero de Operaciones Especiales\nDesbloquea la creacion de los Libros Maestros\n+35 Max HP/ST
SP9desc,progression,Attribute,,,Above all,Por encima de todo
