Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
donacion_SPOGyro,vehicles,vehicle,,,[ffff00][Donation][-] S.O. Gyrocopter,[ffff00][Donación][-] E.O. Gyrocoptero,[ffff00][Donación][-] E.O. Gyrocoptero

donacion_SPOGyroPlaceable,items,vehicle,,,[ffff00][Donation][-] Special Operation Gyrocopter,[ffff00][Donación][-] Giróscopo de Operaciones Especiales,[ffff00][Donación][-] Giróscopo de Operaciones Especiales
donacion_SPOmotoPlaceable,items,vehicle,,,[ffff00][Donation][-] S.O. Motorcycle,[ffff00][Donación][-] S.O. Motocicleta,[ffff00][Donación][-] S.O. Motocicleta
donacion_SPO4x4Placeable,items,vehicle,,,[ffff00][Donation][-] Special Operations 4x4,[ffff00][Donación][-] 4x4 de Operaciones Especiales,[ffff00][Donación][-] 4x4 de Operaciones Especiales
donacion_BetsyPlaceable,items,vehicle,,,[ffff00][Donation][-] Betsy MK1,[ffff00][Donación][-] Betsy MK1,[ffff00][Donación][-] Betsy MK1
donacion_Betsy2Placeable,items,vehicle,,,[ffff00][Donation][-] Betsy MK2,[ffff00][Donación][-] Betsy MK2,[ffff00][Donación][-] Betsy MK2
Cursed_mod2,item_modifiers,mod,,,[ffff00][Donation][-] Dark pact Mod,[ffff00][Donación][-] Pacto oscuro,[ffff00][Donación][-] Pacto oscuro
Divine_mod2,item_modifiers,mod,,,[ffff00][Donation][-] Divine Mod,[ffff00][Donación][-]Modificardor Divino,[ffff00][Donación][-]Modificardor Divino

